title,type,release_date,secondary_types,track_count,label
TREASURE EP.1 : All to Zero,EP,2018-10-24,,6,Stone Music Entertainment
TREASURE EP.2 : Zero to One,EP,2019-01-15,,5,KQ Entertainment
TREASURE EP.3 : One to All,EP,2019-06-10,,6,KQ Entertainment
TREASURE EP.FIN : All to Action,Album,2019-10-08,,11,KQ Entertainment
TREASURE EP. EXTRA: Shift The Map,Album,2019-12-04,,11,NIPPONOPHONE
TREASURE EPILOGUE : Action to Answer,EP,2020-01-06,,5,KQ Entertainment
TREASURE EP. Map To Answer,EP,2020-02-12,,6,NIPPONOPHONE
ZERO : FEVER Part.1,EP,2020-07-29,,7,KQ Entertainment
EDEN_STARDUST2 vol.07,Single,2020-12-30,,1,KQ Entertainment
ZERO : FEVER PART 2,EP,2021-03-01,,7,KQ Entertainment
Into the A to Z,Album,2021-03-24,,10,NIPPONOPHONE
킹덤 <FINAL : WHO IS THE KING?>,EP,2021-05-28,,6,Stone Music Entertainment
Dreamers,Single,2021-07-12,,1,
Taste of Korea,Single,2021-07-14,,1,STARSHIP Entertainment
Season Songs,Single,2021-08-16,,3,Kakao Entertainment
ZERO : FEVER Part.3,EP,2021-09-13,,6,KQ Entertainment
ZERO : FEVER Epilogue,EP,2021-12-10,,10,KQ Entertainment
Don't Stop,Single,2022-01-31,,1,KLAP ENTERTAINMENT
BEYOND : ZERO,EP,2022-05-25,,7,KQ Entertainment
THE WORLD EP.1 : MOVEMENT,EP,2022-07-29,,7,KQ Entertainment
Let′s Get Together,Single,2022-09-09,Soundtrack,2,Genie Music
THE WORLD EP.PARADIGM,EP,2022-11-30,,6,KQ Entertainment
SPIN OFF : FROM THE WITNESS,Single,2022-12-30,,5,KQ Entertainment
Limitless,Single,2023-03-22,,4,"Nippon Columbia Co., Ltd./NIPPONOPHONE"
THE WORLD EP.2 : OUTLAW,EP,2023-06-16,,6,KQ Entertainment
THE WORLD EP.FIN : WILL,Album,2023-12-01,,12,KQ Entertainment
NOT OKAY,Single,2024-02-28,,4,Universal Music
GOLDEN HOUR : Part.1,EP,2024-05-31,,6,KQ Entertainment
WORK Pt.2 - ATEEZ X Don Diablo,Single,2024-06-05,,1,KQ Entertainment
WORK Pt.3 - ATEEZ X Eden-ary,Single,2024-06-12,,1,KQ Entertainment
Hush‐Hush,Single,2024-07-01,,1,B-ME
Hush-Hush (Inst.),Single,2024-07-06,,1,B-ME
WORK Pt.4,Single,2024-08-09,,1,KQ Entertainment
Royal,Single,2024-09-03,,1,UNIVERSAL SIGMA
Birthday,EP,2024-10-01,,6,UNIVERSAL SIGMA
GOLDEN HOUR : Part.2,EP,2024-11-15,,6,
GOLDEN HOUR : Part.3,EP,2025-06-13,,5,KQ Entertainment
Almost,Single,2025-07-25,,1,Sony Music
Ashes to Light,Album,2025-09-17,,9,UNIVERSAL SIGMA
From (2018),Single,2025-10-24,,2,KQ Entertainment
Choose,Single,2025-11-17,,1,KQ Entertainment
Waiting for You (Original Soundtrack from Last Summer),Single,2025-11-22,Soundtrack,2,YamYam Entertainment
GOLDEN HOUR : Part.4,EP,2026-02-06,,5,KQ Entertainment
