title,type,release_date,secondary_types,track_count,label
Beat Your Best,Single,2020-12-14,,1,
riBBon,EP,2021-06-15,,6,ABYSS Company
Who Are You,Single,2021-12-28,,2,ABYSS Company
B,EP,2022-01-18,,6,ABYSS Company
Skrrt,Single,2022-02-20,,1,
Melting (A Business Proposal OST Part.4),Single,2022-03-09,Soundtrack,2,FLEX M
Wheels Up,Single,2022-04-22,,1,
Sour & Sweet,Album,2023-03-28,,8,ABYSS Company
Pick it,Single,2023-09-11,,1,ABYSS Company
BAMESIS,EP,2024-08-08,,5,ABYSS Company
Dancing By Myself,Single,2025-09-12,,1,
HOMETOWN,EP,2025-10-10,,5,
CARRY YOU,Single,2026-03-27,,2,
