title,type,release_date,secondary_types,track_count,label
SQUARE ONE,Single,2016-08-08,,2,YG Entertainment
SQUARE TWO,Single,2016-11-01,,3,YG Entertainment
As If It's Your Last,Single,2017-06-22,,1,YG Entertainment
마지막처럼,Single,2017-06-22,,1,YG Entertainment
BLACKPINK,Single,2017-08-08,,1,YGEX
BLACKPINK,EP,2017-08-29,,6,YGEX
SQUARE UP,EP,2018-06-15,,4,YGEX
DDU‐DU DDU‐DU,Single,2018-08-22,,8,YGEX
Kiss and Make Up,Single,2018-10-24,,1,URBAN
Kill This Love,Single,2019-04-04,,1,YG Entertainment
KILL THIS LOVE,EP,2019-04-05,,5,YG Entertainment
Sour Candy,Single,2020-05-28,,1,Interscope Records
How You Like That,Single,2020-06-26,,1,Interscope Records
Ice Cream,Single,2020-08-28,,1,Interscope Records
THE ALBUM,Album,2020-10-02,,8,Interscope Records
Ready for Love,Single,2022-07-29,,1,YG Entertainment
Pink Venom,Single,2022-08-19,,1,Interscope Records
BORN PINK,Album,2022-09-16,,8,Interscope Records
THE GIRLS,Single,2023-08-25,Soundtrack,1,Interscope Records
뛰어 (JUMP),Single,2025-07-11,,1,YGEX
DEADLINE,EP,2026-02-27,,5,YGEX
