title,type,release_date,secondary_types,track_count,label
WHO!,Single,2023-05-30,,3,KOZ Entertainment
WHY..,EP,2023-09-04,,6,KOZ Entertainment
Fadeaway (From “GARBAGE TIME”),Single,2023-11-07,Soundtrack,2,MOST CONTENTS
HOW?,EP,2024-04-15,,7,UNIVERSAL MUSIC LLC
낮과 밤이 다른 그녀 OST Part.3,Single,2024-06-29,Soundtrack,2,SLL
"AND,",Single,2024-07-09,,4,KOZ Entertainment
부모님 관람불가,Single,2024-09-02,,1,KOZ Entertainment
19.99,EP,2024-09-09,,7,KOZ Entertainment
It's Beginning To Look A Lot Like Christmas - Single,Single,2024-10-31,,1,KOZ Entertainment
오늘만 I LOVE YOU,Single,2025-01-06,,1,KOZ Entertainment
이렇게 좋아해 본 적이 없어요 (소녀의 세계 X BOYNEXTDOOR),Single,2025-03-14,Soundtrack,2,MOST CONTENTS
No Genre,EP,2025-05-13,,7,KOZ Entertainment
BOYLIFE,Single,2025-08-17,,4,KOZ Entertainment
The Action,EP,2025-10-20,,5,KOZ Entertainment
SAY CHEESE!,Single,2025-11-09,,1,Polydor Records
