title,type,release_date,secondary_types,track_count,label
우리 옆집에 EXO가 산다 OST,Single,2015-04-22,Soundtrack,2,SM Entertainment
Dream,Single,2016-01-07,,2,MYSTIC STORY
The Day,Single,2016-05-13,,2,SM Entertainment
달의 연인 - 보보경심 려 OST Part 1,Single,2016-08-25,Soundtrack,2,SM Entertainment
비가와 (Rain),Single,2017-02-14,,1,Starship X
바래다줄게,Single,2017-04-14,,2,SM Entertainment
YOUNG,Single,2018-08-31,,2,SM Entertainment
City Lights,EP,2019-07-10,,6,SM Entertainment
Delight,EP,2020-05-25,,7,SM Entertainment
Our Beloved BoA #1 - SM STATION,Single,2020-07-31,,2,SM Entertainment
Amusement Park,Single,2020-12-21,,1,SM Entertainment
BAEKHYUN,EP,2021-01-21,,6,avex trax
Bambi,EP,2021-03-30,,6,SM Entertainment
Hurt,Single,2021-05-10,,2,
Paranoia,Single,2023-10-23,Soundtrack,1,Riot Games
"Hello, World",EP,2024-09-06,,6,INB100
100RED Winter Special Single ‘The Last Christmas',Single,2024-12-10,,1,One Hundred Label
Do What You Do,Single,2025-03-03,,1,INB100
Chocolate,Single,2025-05-15,,1,INB100
Essence of Reverie,EP,2025-05-19,,7,INB100
