title,type,release_date
"투유 프로젝트 슈가맨, Pt. 32 : 다시 사랑한다면",Single,2016-05-25
Freal Luv,Single,2016-10-14
도깨비 OST Part 1,Single,2016-12-03
Let Me Love You,Single,2017-02-23
We Young,Single,2018-09-14
SSFW,Single,2019-04-25
낭만닥터 김사부 2 OST Part.3,Single,2020-01-20
Yours,Single,2020-05-12
Tomorrow,Single,2021-04-06
그래도 돼 (Good Enough),Single,2023-10-20
Black Out,EP,2024-08-28
"Baby, Don't Cry（人魚的眼淚)",Single,2024-12-15
Hibi,Album,2025
Upside Down,Album,2025
Upside Down,EP,2025-08-25
日々,EP,2025-09-26
처음부터 지금까지 (한류 시작 20th 프로젝트 Part.6),Single,2025-12-24
