title,type,release_date,secondary_types,track_count,label
괜찮아 사랑이야 OST Part 1,Single,2014-07-23,Soundtrack,2,CJ E&M
태양의 후예 OST Part.2,Single,2016-02-25,Soundtrack,2,
썸타,Single,2016-04-08,,2,SM Entertainment
"투유 프로젝트 슈가맨, Pt. 32 : 다시 사랑한다면",Single,2016-05-25,,1,JTBC
달의 연인 - 보보경심 려 OST Part 1,Single,2016-08-25,Soundtrack,2,SM Entertainment
Years,Single,2016-10-07,,2,ScreaM Records
Mixxxture Project Vol.1,Single,2017-01-24,,1,Amoeba Culture
I’m Not Okay (From “MISSING 9”),Single,2017-02-16,Soundtrack,2,SM Entertainment
Beautiful Accident,Single,2017-05-30,,1,SM Entertainment
Bye Babe,Single,2017-11-03,,2,SM Entertainment
"100 Days My Prince (Original Television Soundtrack), Pt. 3",Single,2018-10-16,Soundtrack,2,Genie Music
Touch your heart OST Part.1,Single,2019-02-07,Soundtrack,1,Jellyfish Entertainment
"사월, 그리고 꽃 (April, and a flower)",EP,2019-04-01,,6,SM Entertainment
May We Bye,Single,2019-05-13,,2,MOST WORKS
Chief of Staff : People who Make the World Pt. 1 (Original Television Soundtrack),Single,2019-06-14,Soundtrack,2,MUSIC&NEW
사랑하는 그대에게 (Dear my dear),EP,2019-10-01,,6,SM Entertainment
Beautiful (Heart 4 U Original Soundtrack),Single,2019-12-19,Soundtrack,1,SM Entertainment
You,Single,2020-01-23,,1,Amoeba Culture
브람스를 좋아하세요? (Original Television Soundtrack) Pt. 3,Single,2020-09-08,Soundtrack,2,
Hello,Single,2020-10-15,,1,SM Entertainment
"DOCTOR LAWYER (Original Television Soundtrack, Pt. 2)",Single,2022-06-17,Soundtrack,2,LEON KOREA
사라지고 있어 (Last Scene),EP,2022-11-14,,6,SM Entertainment
Police Station Next To Fire Station OST Part. 3 (Soundtrack),Single,2022-11-26,Soundtrack,2,Danal Entertainment
Before the Petals Fall,Single,2023-05-15,,2,candies
Bloom - SM STATION,Single,2023-05-30,,2,SM Entertainment
Break Out,Single,2023-08-02,,1,avex trax
FREE WORLD,Single,2023-08-05,,1,avex trax
On the road,Single,2023-08-08,,1,avex trax
Mirage of Flower,Single,2023-08-11,,1,avex trax
My Sunshine,Single,2023-08-14,,1,avex trax
ポラリス (Polaris),EP,2023-08-17,,6,AVEX MUSIC CREATIVE INC.
DOOR,EP,2024-05-28,,6,INB100
Beyond:,Single,2024-10-01,,2,INB100
100RED Winter Special Single ‘The Last Christmas',Single,2024-12-10,,1,One Hundred Label
Broken Party,Single,2025-04-28,,1,INB100
Arcadia,EP,2025-09-29,,5,INB100
The Ghibli Collection,Album,2026-03-20,,9,OA2 Records
