title,type,release_date,secondary_types,track_count,label
Tell Me (What Is Love),Single,2016-02-19,,1,SM Entertainment
That's okay,Single,2019-07-01,,2,SM Entertainment
공감,EP,2021-07-26,,8,SM Entertainment
I Do,Single,2023-09-08,,1,SM Entertainment
기대,EP,2023-09-18,,7,SM Entertainment
Popcorn,Single,2024-04-30,,1,COMPANYSOOSOO
성장 (BLOSSOM),EP,2024-05-07,,6,COMPANYSOOSOO
밤에 내린 눈 (Snowfall at Night),Single,2025-01-17,,2,
BLISS,Album,2025-07-07,,10,COMPANYSOOSOO
Stay With Me,Single,2025-08-28,,2,D&D Corporation
DUMB,Single,2025-09-16,,2,COMPANYSOOSOO
나였으면,Single,2025-11-07,,2,COMPANYSOOSOO
