title,type,release_date
BORDER : DAY ONE,EP,2020-11-30
BORDER : CARNIVAL,EP,2021-04-26
BORDER: 儚い,Single,2021-06-06
HEY TAYO,Single,2021-07-29
BILLY POCO,Single,2021-08-11
Dimension: Dilemma,Album,2021-10-12
DIMENSION: 閃光,Single,2022-05-03
A Kind Of Magic (Coke Studio Session),Single,2022-06-07
MANIFESTO : DAY 1,EP,2022-07-04
I Need the Light,Single,2022-08-12
One In A Billion,Single,2022-09-06
Make the change,Single,2022-10-11
定め,Album,2022-10-25
"Summer Strike, Pt. 4 (Original Soundtrack)",Single,2022-11-28
DARK BLOOD,EP,2023-05-22
One and Only,Single,2023-07-11
CRIMINAL LOVE,Single,2023-07-31
結 -YOU-,Single,2023-08-02
ORANGE BLOOD,EP,2023-11-17
I NEED U,Single,2024-02-16
What Makes You Beautiful,Single,2024-02-23
MEMORABILIA,EP,2024-05-13
ROMANCE : UNTOLD,Album,2024-07-12
Brought The Heat Back,Single,2024-08-09
Home,Single,2024-10-18
Loose,Single,2025-04-04
DESIRE : UNLEASH,EP,2025-06-05
Demons [The Seasons: Cantabile of Park Bo Gum],Single,2025-06-13
Track by Track Commentary: ENHYPEN on DESIRE : UNLEASH,EP,2025-06-16
Shine On Me,Single,2025-07-03
宵 -YOI-,Single,2025-07-27
DARK MOON: THE BLOOD ALTAR (Soundtrack Compilation),EP,2026-01-11
THE SIN : VANISH,EP,2026-01-16
