title,type,release_date,secondary_types,track_count,label
ARRIVAL OF EVERGLOW,Single,2019-03-18,,3,YH Entertainment
HUSH,Single,2019-08-19,,3,YH Entertainment
reminiscence,EP,2020-02-03,,4,YH Entertainment
−77.82X−78.29,EP,2020-09-21,,4,YH Entertainment
The Spies Who Loved Me OST Special Track,Single,2020-11-12,Soundtrack,2,FLEX M
LAST MELODY,Single,2021-05-25,,3,YH Entertainment
EVERGLOW FOR UNICEF PROMISE CAMPAIGN,Single,2021-08-25,,1,Yuehua Entertainment Korea
Return of the Girl,EP,2021-12-01,,5,YH Entertainment
Ghost Light,Single,2022-11-18,,1,Pharisade
Ghost Light (Nightcore),Single,2022-11-25,Remix,3,Pharisade
ALL MY GIRLS,Single,2023-08-18,,3,YH Entertainment
ZOMBIE,Single,2024-06-10,,3,
CODE,EP,2026-03-03,,4,CHXXTA Company
