title,type,release_date,secondary_types,track_count,label
Mama,EP,2012-04-09,,6,SM Entertainment
XOXO,Album,2013-06-03,,12,SM Entertainment
Miracles in December,EP,2013-12-09,,6,SM Entertainment
Overdose,EP,2014-08-06,,5,SM Entertainment
EXODUS,Album,2015-03-30,,10,SM Entertainment
Love Me Right ～romantic universe～,Single,2015-11-04,,7,avex trax
LIGHTSABER,Single,2015-11-11,,1,SM Entertainment
SING FOR YOU,EP,2015-12-10,,5,SM Entertainment
EX’ACT,Album,2016-06-09,,11,SM Entertainment
Dancing King,Single,2016-09-17,,2,SM Entertainment
Coming Over,Single,2016-12-07,,9,avex trax
For Life,EP,2016-12-19,,10,SM Entertainment
THE WAR,Album,2017-07-18,,18,SM Entertainment
Universe,EP,2017-12-26,,7,SM Entertainment
COUNTDOWN,Album,2018-01-24,,17,avex trax
DON’T MESS UP MY TEMPO,Album,2018-11-02,,11,SM Entertainment
BIRD,Single,2019-10-10,,1,avex trax
OBSESSION,Album,2019-11-27,,10,SM Entertainment
BIRD (EXO PLANET #5 - EXplOration - in JAPAN),Single,2020-04-21,,1,avex entertainment
DON’T FIGHT THE FEELING,EP,2021-06-07,,5,SM Entertainment
Let Me In,Single,2023-06-12,,1,SM Entertainment
Hear Me Out,Single,2023-06-30,,1,SM Entertainment
EXIST,Album,2023-07-10,,9,SM Entertainment
I'm Home,Single,2025-12-13,,1,SM Entertainment
REVERXE,Album,2026-01-19,,9,SM Entertainment
