title,type,release_date,secondary_types,track_count,label
Season of Glass,EP,2015-01-15,,5,SOURCE MUSIC
Flower Bud,EP,2015-07-23,,6,SOURCE MUSIC
SNOWFLAKE,EP,2016-01-25,,7,SOURCE MUSIC
파도,Single,2016-05-01,,1,SOURCE MUSIC
LOL,Album,2016-07-11,,12,SOURCE MUSIC
포켓몬 더 무비 XY&Z (볼케니온: 기계왕국의 비밀),Single,2016-12-05,,3,Pokémon Korea
THE AWAKENING,EP,2017-03-06,,6,SOURCE MUSIC
PARALLEL,EP,2017-08-01,,8,SOURCE MUSIC
Time for the moon night,EP,2018-04-30,,8,SOURCE MUSIC
今日から私たちは (Me gustas tu),Single,2018-05-16,,1,KING
김비서가 왜 그럴까 OST Part 3,Single,2018-06-21,Soundtrack,2,
Sunny Summer,EP,2018-07-19,,5,SOURCE MUSIC
Memoria / 夜 (Time for the Moon Night),Single,2018-10-10,,4,KING
Time for us,Album,2019-01-14,,13,SOURCE MUSIC
SUNRISE,Single,2019-02-12,,4,KING
FLOWER,Single,2019-03-13,,4,KING
한입만2,Single,2019-03-20,Soundtrack,2,PLAYLIST
FEVER SEASON,EP,2019-07-01,,8,SOURCE MUSIC
Oh difficult,Single,2019-07-03,,6,Warner Music Japan
Fallin' Light,Album,2019-11-13,,11,KING
回:LABYRINTH,EP,2020-02-03,,6,SOURCE MUSIC
回:Song of the Sirens,EP,2020-07-13,,6,SOURCE MUSIC
回:LABYRINTH ~Crossroads~,Single,2020-10-14,,2,KING
回:Song of the Sirens 〜Apple〜,Single,2020-10-21,,2,KING
回:Walpurgis Night,Album,2020-11-09,,11,SOURCE MUSIC
Season of Memories,Single,2025-01-06,,1,SOURCE MUSIC
