title,type,release_date,secondary_types,track_count,label
Got it?,EP,2014-01-20,,6,JYP Entertainment
GOT♡,EP,2014-06-23,,8,JYP Entertainment
GOT7 Thailand Special Set,EP,2014-09-25,Compilation,14,JYP Entertainment
AROUND THE WORLD,Single,2014-09-29,,1,Epic Records
Identify,Album,2014-11-18,,11,JYP Entertainment
LOVE TRAIN,Single,2015-06-01,,1,Epic Records
Just right,EP,2015-07-13,,6,JYP Entertainment
LAUGH LAUGH LAUGH,Single,2015-09-14,,1,Epic Records
MAD,EP,2015-09-29,,6,JYP Entertainment
Yo モリアガッテ Yo,Single,2016-01-25,,1,Epic Records
モリ↑ガッテヨ,Album,2016-02-03,,15,Epic Records
FLIGHT LOG : DEPARTURE,EP,2016-03-21,,8,JYP Entertainment
HOME RUN,Single,2016-04-12,,1,JYP Entertainment
FLIGHT LOG : TURBULENCE,Album,2016-09-27,,13,JYP Entertainment
Hey Yah,Single,2016-10-31,,1,Epic Records
Let me know,Single,2016-11-08,,1,Epic Records
Hey Yah,EP,2016-11-16,,5,Epic Records
FLIGHT LOG : ARRIVAL,EP,2017-03-13,,8,JYP Entertainment
MY SWAGGER,Single,2017-05-01,,1,Epic JYP
7 for 7,EP,2017-10-10,,7,JYP Entertainment
TURN UP,Single,2017-10-31,,1,Epic JYP
TURN UP,EP,2017-11-15,,11,Epic Records
너 하나만,Single,2018-02-28,,1,JYP Entertainment
Eyes on You,EP,2018-03-12,,7,JYP Entertainment
THE New Era,Single,2018-05-07,,1,Epic JYP
The New Era,EP,2018-06-20,,5,Epic JYP
Present : YOU,Album,2018-09-17,,16,JYP Entertainment
I WON'T LET YOU GO,Single,2018-12-17,,1,Epic JYP
I WON'T LET YOU GO,EP,2019-01-30,,5,Epic Records
SPINNING TOP : BETWEEN SECURITY & INSECURITY,EP,2019-05-20,,6,JYP Entertainment
LOVE LOOP,Album,2019-07-31,,9,Epic JYP
Call My Name,EP,2019-11-04,,6,JYP Entertainment
DYE,EP,2020-04-20,,6,JYP Entertainment
Breath (넌 날 숨 쉬게 해),Single,2020-11-23,,1,JYP Entertainment
Breath of Love : Last Piece,Album,2020-11-30,,10,JYP Entertainment
Encore,Single,2021-02-20,,1,Warner Music Korea
GOT7,EP,2022-05-23,,6,Warner Music Korea
WINTER HEPTAGON,Album,2025-01-20,,9,Kakao Entertainment
