title,type,release_date,secondary_types,track_count,label
Dream,Album,2010,,11,
One (X Factor Performance),Single,2013-08-25,,1,
Alive,Single,2013-11-08,,1,Sony Music
Dami Im,Album,2013-11-15,,11,Sony Music
I Am Australian,Single,2014-01-24,,1,Sony Music Entertainment Australia
Jolene (Acoustic),Single,2014-03-07,,1,Sony Music Media
Super Love,Single,2014-05-16,,2,Sony Music
Gladiator,Single,2014-08-08,,2,Sony Music
Heart Beats,Album,2014-09-26,,15,Sony Music
Smile,Single,2015-05-26,,1,Sony Music Entertainment
Sound of Silence,Single,2016-03-11,,1,
Classic Carpenters,Album,2016-04-22,,11,Sony Music
Fighting for Love,Single,2016-10-21,,1,Sony Music
I Hear a Song,Album,2018-03-23,,14,Sony Music
Live Sessions EP,EP,2019-01-11,,6,Sony Music Australia
Isn’t She Lovely,Single,2019-08-07,,1,[no label]
Crying Underwater,Single,2019-09-13,,1,Sony Music
Kiss You Anyway,Single,2020-01-03,,1,Dami Army
Marching On,Single,2020-02-07,,1,Dami Army
My Reality,Album,2021-10-21,,10,ABC Music
In Between,EP,2023-07-07,,7,Warner Music Australia
Christmas Songbook,Album,2023-11-17,,7,BMG
A New Era,Single,2024-05-24,,1,
