title,type,release_date,secondary_types,track_count,label
Super Real Me,EP,2024-03-25,,4,Belift Lab
I’LL LIKE YOU,EP,2024-10-21,,5,Belift Lab
Almond Chocolate,Single,2025-02-14,,1,Belift Lab
bomb,EP,2025-06-16,,5,Belift Lab
jellyous,Single,2025-08-01,,2,Belift Lab
Topping,Single,2025-08-10,,1,Polydor Records
時よ止まれ,Single,2025-09-01,,4,Polydor Records
Pokémon | Secret Quest,Single,2025-11-04,Soundtrack,2,Pokémon Korea
NOT CUTE ANYMORE,Single,2025-11-24,,2,Belift Lab
"ALL FOR YOU, 2027",Single,2025-12-16,,2,Stone Music Entertainment
Sunday Morning,Single,2026-01-12,,1,Belift Lab
Bubee,Single,2026-04-05,,1,Belift Lab
MAMIHLAPINATAPAI,EP,2026-04-30,,5,Belift Lab
