title,type,release_date,secondary_types,track_count,label
IT’z Different,Single,2019-02-12,,2,JYP Entertainment
IT’z ICY,EP,2019-07-29,,5,JYP Entertainment
IT’z ME,EP,2020-03-09,,7,JYP Entertainment
Not Shy,EP,2020-08-17,,6,JYP Entertainment
믿지 (MIDZY),Single,2021-03-20,,2,JYP Entertainment
GUESS WHO,EP,2021-04-30,,6,JYP Entertainment
얼음깨,Single,2021-07-01,,1,VIVO WAVE
WHAT’z ITZY,EP,2021-09-01,Compilation,5,Warner Music Japan
CRAZY IN LOVE,Album,2021-09-24,,17,Warner Music Japan
Voltage,Single,2022-03-23,,1,Warner Music Japan
CHECKMATE,EP,2022-07-15,,7,Warner Music Japan
Blah Blah Blah,Single,2022-09-21,,1,Warner Music Japan
Boys Like You,Single,2022-10-21,,1,Warner Music Japan
CHESHIRE,EP,2022-11-30,,4,Warner Music Japan
KILL MY DOUBT,EP,2023-07-31,,6,Warner Music Japan
RINGO,Single,2023-09-27,,1,Warner Music Japan
힘쎈여자 강남순 OST Part.1,Single,2023-10-08,Soundtrack,2,MOST CONTENTS
Sugar‐holic,Single,2023-10-11,,1,Warner Music Japan
RINGO,Album,2023-10-18,,14,Warner Music Japan
BORN TO BE,EP,2024-01-08,,10,Warner Music Japan
Like Magic,Single,2024-02-20,,2,JYP Entertainment
No Biggie,Single,2024-05-01,,1,JYP Entertainment
Algorhythm,Single,2024-05-15,,4,Warner Music Japan
GOLD,EP,2024-10-15,,11,JYP Entertainment
Girls Will Be Girls,EP,2025-06-09,,5,Warner Music Japan
Collector,Album,2025-10-08,,12,Warner Music Japan
TUNNEL VISION,EP,2025-11-10,,6,JYP Entertainment
Motto,EP,2026-05-18,,8,JYP Entertainment
