title,type,release_date
ELEVEN,Single,2021-12-01
LOVE DIVE,Single,2022-04-05
After LIKE,Single,2022-08-22
Spotify Singles - Holiday,Single,2022-11-16
Kitsch,Single,2023-03-27
I’ve IVE,Album,2023-04-10
WAVE,Single,2023-05-09
WAVE,EP,2023-05-31
I WANT,Single,2023-07-13
Either Way,Single,2023-09-25
Off the Record,Single,2023-10-06
I’VE MINE,EP,2023-10-13
All Night,Single,2024-01-19
Will,Single,2024-04-12
IVE SWITCH,EP,2024-04-29
SUMMER FESTA,Single,2024-06-28
CRUSH,Single,2024-08-07
ALIVE,EP,2024-08-28
Supernova Love,Single,2024-11-08
REBEL HEART,Single,2025-01-13
IVE EMPATHY,EP,2025-02-03
DARE ME,Single,2025-04-21
Be Alright,Single,2025-07-16
Be Alright,EP,2025-07-30
