title,type,release_date,secondary_types,track_count,label
COLOR*IZ,EP,2018-10-29,,7,OFF THE RECORD Entertainment
好きと言わせたい,Single,2019-02-05,,3,EMI Records
Rise,Single,2019-03-08,,1,Positiva
HEART*IZ,EP,2019-04-01,,8,OFF THE RECORD Entertainment
Buenos Aires,Single,2019-06-21,,5,EMI Records
Vampire,Single,2019-09-13,,1,EMI Records
BLOOM*IZ,Album,2020-02-17,,12,OFF THE RECORD Entertainment
Oneiric Diary (幻想日記),EP,2020-06-15,,8,OFF THE RECORD Entertainment
Beware,Single,2020-10-07,,1,EMI Records
Twelve,Album,2020-10-21,,13,EMI Records
One-reeler / Act IV,EP,2020-12-07,,6,OFF THE RECORD Entertainment
D-D-DANCE,Single,2021-01-26,,1,KLAP ENTERTAINMENT
ZERO:ATTITUDE,Single,2021-02-15,,1,STARSHIP Entertainment
