title,type,release_date,secondary_types,track_count,label
SOLO,Single,2018-11-12,,1,YGEX
The Idol: Episode 4,EP,2023-06-23,Soundtrack,3,Republic Records
One of the Girls,Single,2023-07-06,Soundtrack,1,Republic Records
You & Me,Single,2023-10-06,,2,Interscope Records
Slow Motion,Single,2024-03-08,,1,RCA
SPOT!,Single,2024-04-26,,1,UNIVERSAL MUSIC LLC
Mantra,Single,2024-10-11,,1,Columbia
Love Hangover,Single,2025-01-31,,1,Columbia
Ruby,Album,2025-02-21,,15,Columbia
ExtraL,Single,2025-02-21,,1,Columbia
Damn Right,Single,2025-03-07,,1,Columbia
Handlebars,Single,2025-03-07,,1,Columbia
Intro : JANE,Single,2025-03-07,,1,Columbia
like JENNIE,Single,2025-03-07,,1,Columbia
