title,type,release_date,secondary_types,track_count,label
언프리티 랩스타 3 Track 3,Single,2016-08-20,,1,CJ E&M
Jelly,Single,2017-11-05,,1,Cube Entertainment
아이들 쏭 (Idle song),Single,2018-02-28,,1,Cube Entertainment
Wow Thing,Single,2018-09-28,,2,SM Entertainment
GIANTS,Single,2019-11-10,Soundtrack,2,Riot Games
DESSERT,Single,2020-07-22,,1,ScreaM Records
Windy,EP,2021-07-05,,5,Cube Entertainment
난리나,Single,2022-02-12,,1,Korean Broadcasting System
"유희열의 스케치북 With you: 여든 한번째 목소리 '유스케 X 소연 ((여자) 아이들)', Vol. 124",Single,2022-02-12,,1,
"Now On, Showtime! (Original Television Soundtrack) - ’FREAK SHOW’",Single,2022-04-20,Soundtrack,2,2%Entertainment
아따 맛있다,Single,2022-07-27,,1,Cube Entertainment
My 20 dollars,Single,2023-08-03,,1,
아무너케,Single,2023-08-23,,2,Cube Entertainment
NOBODY,Single,2023-11-16,,1,Studio Beyond
내 이름 맑음 (THE 시즌즈: 박보검의 칸타빌레),Single,2025-06-27,Soundtrack,1,Genie Music
