title,type,release_date,secondary_types,track_count,label
2 Cool 4 Skool,Single,2013-06-12,,7,BigHit Entertainment
"O!RUL8,2?",EP,2013-09-11,,10,BigHit Entertainment
Skool Luv Affair,EP,2014-02-12,,10,BigHit Entertainment
NO MORE DREAM,Single,2014-06-04,,3,PONY CANYON
BOY IN LUV,Single,2014-07-16,,3,PONY CANYON
DARK&WILD,Album,2014-08-20,,14,BigHit Entertainment
Danger,Single,2014-11-19,,3,PONY CANYON
Danger (Mo-Blue-Mix),Single,2014-11-21,Remix,1,BigHit Entertainment
WAKE UP,Album,2014-12-24,,14,PONY CANYON
화양연화 pt.1,EP,2015-04-29,,9,BigHit Entertainment
FOR YOU,Single,2015-06-17,,3,PONY CANYON
화양연화 pt.2,EP,2015-11-30,,9,BigHit Entertainment
I NEED U,Single,2015-12-08,,3,PONY CANYON
RUN,Single,2016-03-15,,3,PONY CANYON
YOUTH,Album,2016-09-07,,19,PONY CANYON
WINGS,Album,2016-10-10,,15,BigHit Entertainment
LOVE YOURSELF 承 ‘Her’,EP,2017-04-10,,9,BigHit Entertainment
血、汗、涙,Single,2017-05-10,,2,Def Jam Recordings
Come Back Home,Single,2017-07-04,,1,BigHit Entertainment
MIC Drop / DNA / Crystal Snow,Single,2017-12-06,,3,Def Jam Recordings
With Seoul,Single,2017-12-13,,1,
FACE YOURSELF,Album,2018-04-04,,20,Def Jam Recordings
LOVE YOURSELF 轉 ‘Tear’,Album,2018-05-18,,11,BigHit Entertainment
FAKE LOVE (Rocking Vibe mix),Single,2018-06-04,Remix,1,BigHit Entertainment
Waste It on Me,Single,2018-10-25,,1,Liberator Music
FAKE LOVE / Airplane pt.2,Single,2018-11-07,,6,Def Jam Recordings
MAP OF THE SOUL : PERSONA,EP,2019-04-12,,7,BigHit Entertainment
Dream Glow (BTS WORLD OST Part.1),Single,2019-06-07,Soundtrack,1,BigHit Entertainment
A Brand New Day,Single,2019-06-14,Soundtrack,1,BigHit Entertainment
All Night (BTS World Original Soundtrack) (Pt. 3),Single,2019-06-21,Soundtrack,1,BigHit Entertainment
Lights / Boy With Luv,Single,2019-07-03,,3,Def Jam Recordings
Make It Right,Single,2019-10-18,,1,BigHit Entertainment
SUGA’s Interlude,Single,2019-12-06,,1,Capitol Records
Black Swan,Single,2020-01-17,,1,BigHit Entertainment
MAP OF THE SOUL : 7,Album,2020-02-21,,20,BigHit Entertainment
Stay Gold,Single,2020-06-19,,1,Def Jam Recordings
MAP OF THE SOUL : 7 〜 THE JOURNEY 〜,Album,2020-07-14,,13,Def Jam Recordings
Dynamite,Single,2020-08-21,,2,BigHit Entertainment
IONIQ: I'm on It,Single,2020-08-31,,1,[no label]
Savage Love (Laxed - Siren Beat),Single,2020-10-02,Remix,2,Columbia
BE,Album,2020-11-20,,8,BigHit Entertainment
Film out,Single,2021-04-01,,1,Def Jam Recordings
Butter,Single,2021-05-21,,2,BIGHIT MUSIC
"Butter (Hotter, Sweeter, Cooler)",Single,2021-06-04,Remix,5,BIGHIT MUSIC
Permission to Dance,Single,2021-07-09,,4,BIGHIT MUSIC
My Universe,Single,2021-09-24,,2,Parlophone
My Universe (instrumental),Single,2021-09-24,Remix,1,
Yet to Come (The Most Beautiful Moment),Single,2022-06-10,,1,BIGHIT MUSIC
bad decisions,Single,2022-08-04,,2,Friends Keep Secrets
Bad Decisions (acoustic),Single,2022-08-04,Remix,1,Friends Keep Secrets
The Planet,Single,2023-05-12,Soundtrack,1,BIGHIT MUSIC
Take Two,Single,2023-06-09,,1,BIGHIT MUSIC
ARIRANG,Album,2026-03-20,,16,Def Jam Recordings
SWIM,Single,2026-03-20,,1,Def Jam Recordings
SWIMSIDE: A Message from BTS,Single,2026-03-27,Spokenword,2,Spotify
KEEP SWIMMING,Single,2026-03-27,Remix,9,Def Jam Recordings
