title,type,release_date
Generation 2,Single,2017-07-28
Papillon,Single,2017-08-26
더 패키지 OST Part.4,Single,2017-10-27
OKAY,Single,2017-11-30
MOOD,Single,2017-12-27
Dawn of Us,Single,2018-04-20
Lucky Rain,Single,2018-04-29
Fendiman,Single,2018-05-25
X,Single,2018-05-25
Bruce Lee,Single,2018-07-15
Different Game,Single,2018-11-07
Hello,Single,2018-12-08
熱愛就一起,Single,2019
MK Circus,Single,2019-02-14
Oxygen,Single,2019-04-12
Too Busy,Single,2019-07-26
BULLET TO THE HEART,Single,2019-09-24
DWAY!,Single,2019-10-22
MIRRORS,Album,2019-10-25
100 Ways,Single,2020-03-20
Pretty Please,Single,2020-09-04
一个人,Single,2021-01-30
LMLY,Single,2021-03-26
Drive You Home,Single,2021-07-29
王嘉爾,Single,2022-01-11
LOST & FOUND,Album,2022-03-07
Blow,Single,2022-03-31
Born to Be Alive,Single,2022-07-01
Cruel,Single,2022-07-29
Mind Games,Single,2022-08-19
MAGIC MAN,Album,2022-09-09
Fire To the Fuse,Single,2022-11-08
Why Why Why,Single,2022-12-31
Slow,Single,2023-04-17
Cheetah,Single,2023-04-24
HARDER,Single,2023-08-25
Feeling Lucky,Single,2024-04-26
henny,Single,2024-05-22
High Alone,Single,2025-02-13
GBAD,Single,2025-03-27
BUCK,Single,2025-05-09
Hate to Love,Single,2025-06-06
MAGICMAN 2,Album,2025-07-17
Let Loose,Single,2025-09-12
Deadend (活該),Single,2026-03-27
