title,type,release_date,secondary_types,track_count,label
Sixth Letter,Album,2012,,12,
Dream Knight Special OST,Single,2015-02-17,Soundtrack,1,JYP Entertainment
그냥 한번,Single,2016-11-30,,1,JYP Entertainment
1/? vol.1,EP,2016-12-31,,5,
더 패키지 OST Part.4,Single,2017-10-27,Soundtrack,2,OU Entertainment
1/? vol.2,EP,2018-01-22,,6,
건반 위의 하이에나 Part.4,Single,2018-04-21,,2,Genie Music
1/? vol.3,EP,2018-04-30,,5,
1/? vol.4,EP,2019-08-04,,5,
1/? vol.5,EP,2019-10-28,,5,
Switch It Up,Single,2021-05-14,,1,H1GHR MUSIC
SOMO: FUME,EP,2021-08-26,,6,Warner Music Korea
nostalgia,Single,2021-12-27,,2,MAUVE Company
Love.,EP,2022-01-26,,6,Warner Music Korea
Hello 2.0 (Legends Only),Single,2022-03-11,,1,Transparent Arts
Be Yourself,EP,2022-09-22,,6,CDNZA Records
abandoned love.,EP,2022-10-17,,6,Warner Music Korea
Archive 1: [Road Runner],Album,2024-11-27,,11,MAUVE Company
"EXchange4, Pt. 8 (Original Soundtrack)",Single,2025-11-27,Soundtrack,2,Stone Music Entertainment
