title,type,release_date,secondary_types,track_count,label
"We Don’t Talk Anymore, Part 2",Single,2017-06-02,,1,BigHit Entertainment
"Our Blues, Pt. 4 (Original Television Soundtrack)",Single,2022-04-24,Soundtrack,2,Genie Music
VIBE,Single,2023-01-13,,1,THEBLACKLABEL
Christmas Love,Single,2023-03-06,,1,BIGHIT MUSIC
Promise,Single,2023-03-06,,1,BIGHIT MUSIC
Set Me Free Pt.2,Single,2023-03-17,,1,BIGHIT MUSIC
Like Crazy,Single,2023-03-23,,1,BIGHIT MUSIC
FACE,EP,2023-03-24,,6,BIGHIT MUSIC
Angel Pt. 1,Single,2023-05-18,,2,apg
Angel Pt. 2,Single,2023-06-15,Soundtrack,1,apg
Closer Than This,Single,2023-12-22,,1,BIGHIT MUSIC
Smeraldo Garden Marching Band,Single,2024-06-28,,1,BIGHIT MUSIC
MUSE,Album,2024-07-19,,7,BIGHIT MUSIC
