title,type,release_date,secondary_types,track_count,label
알아요,Single,2016-05-31,Soundtrack,1,[no label]
complex feelings about my own existence,Single,2017-04-07,,1,[no label]
"We Don’t Talk Anymore, Part 2",Single,2017-06-02,,1,BigHit Entertainment
Stay Alive,Single,2022-02-11,,1,
My You,Single,2022-06-13,,1,BIGHIT MUSIC
Left and Right,Single,2022-06-24,,1,Atlantic
Left and Right (sped up nightcore),Single,2022-07-18,Remix,1,sped up nightcore
Dreamers,Single,2022-11-20,Soundtrack,1,2101 Records
Still With You,Single,2023-07-03,,1,BIGHIT MUSIC
Seven,Single,2023-07-14,,1,BIGHIT MUSIC
3D,Single,2023-09-29,,1,BIGHIT MUSIC
TOO MUCH,Single,2023-10-19,,1,Columbia
GOLDEN,Album,2023-11-03,,11,BIGHIT MUSIC
Standing Next to You,Single,2023-11-03,,1,BIGHIT MUSIC
Never Let Go,Single,2024-06-07,,1,BIGHIT MUSIC
