title,type,release_date,secondary_types,track_count,label
프로듀사 OST,Single,2015-05-23,Soundtrack,1,Sony Music (Korea) Inc.
응답하라 1988 OST Part.9,Single,2016-01-02,Soundtrack,1,CJ E&M Music
복면가왕 40회,Single,2016-01-03,Live,1,MBC Records
쇼핑왕 루이 OST Part.7,Single,2016-10-27,Soundtrack,2,"LOEN Entertainment, Inc."
아버님 제가 모실게요 OST Part.7,Single,2016-12-24,Soundtrack,2,Poong Entertainment
My Way,Single,2017-04-03,,2,Warner Music Korea
수상한 파트너 OST Part.7,Single,2017-06-14,Soundtrack,2,SBS Contents Hub
VOYAGER,Single,2022-03-15,,3,STARSHIP Entertainment
YOUTH,EP,2022-10-24,,5,STARSHIP Entertainment
Police Station Next To Fire Station OST Part. 1 (Soundtrack),Single,2022-11-12,Soundtrack,2,Danal Entertainment
