title,type,release_date,secondary_types,track_count,label
KISS OF LIFE,EP,2023-07-05,,6,S2 Entertainment
Born to be XX,EP,2023-11-08,,7,S2 Entertainment
Midas Touch,Single,2024-04-03,,2,S2 Entertainment
송스틸러 - Sixth Sense,Single,2024-05-25,,1,MBC
Sticky,Single,2024-07-01,,2,S2 Entertainment
SUPERPOWER,Single,2024-07-23,,1,Riot Games
"STAGE FIGHTER(STF) Original, Vol. 1",Single,2024-09-23,Soundtrack,2,Genie Music
R.E.M,Single,2024-10-04,,1,S2 Entertainment
Lose Yourself,EP,2024-10-15,,7,S2 Entertainment
KISS ROAD,Single,2025-05-07,,3,S2 Entertainment
224,EP,2025-06-09,,7,S2 Entertainment
TOKYO MISSION START,EP,2025-11-05,,6,"Nippon Columbia Co., Ltd./NIPPONOPHONE"
Who is she,Single,2026-04-06,,2,S2 Entertainment
