title,type,release_date,secondary_types,track_count,label
FIRST IMPACT,EP,2022-01-03,,6,WAKEONE
DOUBLAST,EP,2022-06-20,,5,WAKEONE
Wing Wing,Single,2022-08-03,,1,WAKEONE
<FLY‐UP>,Single,2022-09-07,,4,WAKEONE
Sugar Rush,Single,2022-09-23,,1,KLAP ENTERTAINMENT
Wing Wing - From THE FIRST TAKE,Single,2022-09-28,,1,THE FIRST TAKE MUSIC
TROUBLESHOOTER,EP,2022-10-13,,5,WAKEONE
I do! Do you?,Single,2023-02-22,,1,WAKEONE
<FLY‐BY>,Single,2023-03-15,,4,Ariola Japan
LOVESTRUCK!,EP,2023-04-10,,5,Genie Music
RESCUE TAYO,Single,2023-07-06,,2,ICONIX
Magic Hour,EP,2023-09-25,,5,Ariola Japan
Grand Prix,Single,2023-11-08,,1,WAKEONE
<FLY‐HIGH>,Single,2023-11-22,,4,Ariola Japan
Straight Line,Single,2024-04-24,,1,WAKEONE
Kep1going,Album,2024-05-08,,18,Ariola Japan
Kep1going On,Album,2024-06-03,,10,Ariola Japan
TIPI‐TAP,EP,2024-11-01,,5,Genie Music
Yum,Single,2025-04-09,,1,Ariola Japan
AGAINST THE WORLD,EP,2025-04-30,,5,Ariola Japan
BUBBLE GUM,EP,2025-08-19,,5,Genie Music
CRACK CODE,EP,2026-03-31,,5,
