title,type,release_date,secondary_types,track_count,label
一个人,Single,2015-12-15,,1,
独角戏 (Monodrama),Single,2016-05-27,,2,SM Entertainment
what U need?,Single,2016-10-07,,1,SM Entertainment
LOSE CONTROL,EP,2016-10-28,,6,SM Entertainment
LAY 02 SHEEP,Album,2017-10-07,,10,
Winter Special Gift,EP,2017-12-22,,6,SM Entertainment
Sheep (Alan Walker Relift),Single,2018-08-31,,1,
Give Me a Chance,Single,2018-10-05,,1,SM Entertainment
NAMANANA,Album,2018-10-19,,22,SM Entertainment
Let’s Shut Up & Dance,Single,2019-02-22,,1,7SIX9 Entertainment
Lovebird,Single,2019-03-08,,1,Transparent Arts
Honey,EP,2019-06-14,,4,
Love You More,Single,2020-03-20,,1,Ultra Records
LIT,Album,2020-06-01,,12,Zhang Yixing Studio
Boom,Single,2020-07-09,,1,Zhang Yixing Studio
PRODUCER,Album,2021-02-05,,9,Zhang Yixing Studio
EAST,EP,2021-10-15,,4,Zhang Yixing Studio
Bee With You,Single,2021-11-25,,1,Zhang Yixing Studio
悟,Single,2021-12-30,,1,
Dawn to Dusk,Single,2022-02-22,,4,7SIX9 Entertainment
WEST,EP,2022-09-24,,5,Zhang Yixing Studio
Alive,Single,2023-05-23,,1,Sprite Limelight
Right Back,Single,2023-08-06,,1,Sony Music Entertainment China
THE DIRECTION,EP,2023-12-03,,3,Zhang Yixing Studio
做自己的太陽 (電影《熱辣滾燙》熱辣充電曲),Single,2024-02-13,Soundtrack,2,
Run Back to You,Single,2024-02-23,,1,Warner Music China
Psychic,Single,2024-04-17,,2,Zhang Yixing Studio
STEP,Album,2024-06-14,,10,Warner Music China
我的主場(愛奇藝運動少年勵志成長類節目《我的主場》同名主題曲),Single,2024-10-26,Soundtrack,2,
What About Love,Single,2024-11-15,,1,Zhang Yixing Studio
This Must Be Love,Single,2024-12-25,,1,Zhang Yixing Studio
听不见的歌 (电影《不说话的爱》宣传曲),Single,2025-04-08,Soundtrack,1,Zhang Yixing Studio
easy,Single,2025-07-25,,1,JVKE MUSIC LLC
ROCK THE HEAVENLY PALACE,Album,2025-09-07,,13,Zhang Yixing Studio
为你揭晓,Single,2025-10-02,,1,JFJ PRODUCTIONS CORP. LIMITED
大花轿,Single,2026-01-11,,1,Zhang Yixing Studio
