title,type,release_date,secondary_types,track_count,label
FEARLESS,EP,2022-05-02,,5,SOURCE MUSIC
ANTIFRAGILE,EP,2022-10-17,,5,SOURCE MUSIC
FEARLESS,Single,2022-12-15,,1,SOURCE MUSIC
Choices,Single,2023-01-08,,1,SOURCE MUSIC
UNFORGIVEN,Album,2023-05-01,,13,SOURCE MUSIC
"이브, 프시케 그리고 푸른 수염의 아내",Single,2023-05-23,,1,SOURCE MUSIC
BASTIONS OST Part.4,Single,2023-06-09,Soundtrack,2,THYMOS Media
"Eve, Psyche & the Bluebeard’s wife",Single,2023-06-27,Remix,1,SOURCE MUSIC
ジュエリー,Single,2023-07-25,,1,SOURCE MUSIC
UNFORGIVEN,Single,2023-08-08,,1,SOURCE MUSIC
Perfect Night,Single,2023-10-27,Soundtrack,1,SOURCE MUSIC
ドレスコード,Single,2023-11-20,Soundtrack,1,SOURCE MUSIC
EASY,EP,2024-02-19,,5,SOURCE MUSIC
Perfect Night (for FEARNOT),Single,2024-08-09,Remix,2,SOURCE MUSIC
CRAZY,EP,2024-08-30,,5,SOURCE MUSIC
CRAZY,Single,2024-08-30,,3,SOURCE MUSIC
Star Signs,Single,2024-11-12,,1,SOURCE MUSIC
HOT,EP,2025-03-14,,5,SOURCE MUSIC
HOT,Single,2025-03-14,,4,SOURCE MUSIC
Come Over,Single,2025-03-31,,1,SOURCE MUSIC
DIFFERENT,Single,2025-06-09,,1,HYBE JAPAN
butterflies,Single,2025-07-10,,1,Plush Records
the NOISE,Single,2025-09-26,,1,Virgin Music
Pearlies (My oyster is the world),Single,2025-10-24,,1,SOURCE MUSIC
SPAGHETTI,Single,2025-10-24,,8,SOURCE MUSIC
CELEBRATION,Single,2026-04-24,,1,Virgin Music
‘PUREFLOW’ pt.1,Album,2026-05-22,,11,SOURCE MUSIC
