title,type,release_date,secondary_types,track_count,label
LALISA,Single,2021-09-10,,2,YG Entertainment
Message From LISA,Single,2021-09-10,Spokenword,1,YG Entertainment
SG,Single,2021-10-22,,1,DJ Snake Music
Rockstar,Single,2024-06-28,,1,LLOUD
New Woman,Single,2024-08-15,,1,LLOUD
Moonlit Floor,Single,2024-10-04,,1,LLOUD
Born Again,Single,2025-02-06,,1,LLOUD
Alter Ego,Album,2025-02-28,,12,LLOUD
FXCK UP THE WORLD,Single,2025-03-07,,1,LLOUD
Priceless,Single,2025-05-02,,1,222 Records
Bad Angel,Single,2026-04-08,,1,Interscope Records
