title,type,release_date
Bailando,Single,1998-06-15
Hijo de la luna,Single,1998-11-23
Lunita,Album,1999
Mamboleo,Single,1999
Donde Vas,Single,1999-04-19
Entre dos aguas,Album,1999-12
La vida (es una flor),Single,2000-04-03
Latino Lover,Single,2000-06-26
Baila mi ritmo,Single,2001
Baila mi ritmo,Album,2002
Rhythm of the Night,Single,2002
Viva el amor,Single,2002
Colors,Album,2002-10-21
Tears in Heaven,Single,2004
Wind of Time,Album,2004
Oye el boom,Single,2005
Everybody On The Floor,Album,2007
Moonrise,Album,2008-10-10
Vamos a la playa,Single,2010-07-12
El Cucaracho: El Muchacho,Single,2011
El tiburón,Single,2011
Rakatakata (Un Rayo de Sol),Single,2013-07-05
Badam,Single,2016
Stars,Album,2020-10-11
Feliz Navidad (Mark Ves Mix),Single,2022-12-09
Bailando,Single,2023-06-16
VAMOS,Single,2023-07-06
BAILANDO,Single,
