title,type,release_date,secondary_types,track_count,label
OUTTA MY HEAD,Single,2020-01-11,,1,JYP Entertainment
从未对你说过,Single,2020-03-20,,1,DARKHORSE ENT
One in a Million,Single,2021-02-12,,1,PORT22
imysm,Single,2022-07-01,,1,[no label]
the other side,Album,2022-08-26,,20,
Right Before Our Eyes,Single,2023-05-19,,1,Fabled Records
Fallin',EP,2023-10-27,,6,
SUPERPOWER,Single,2024-07-23,,1,Riot Games
High As You,Single,2025-05-30,,1,Transparent Arts
hold still,Single,2025-08-15,,1,
Silhouette,EP,2025-11-07,,5,Transparent Arts
