title,type,release_date,secondary_types,track_count,label
Cart,Single,2019-07-09,,2,Genie Music
"TALE OF THE NINE TAILED (Original Television Soundtrack), Pt. 8",Single,2020-11-26,Soundtrack,2,Genie Music
Replay (Original Television Soundtrack) Pt. 6,Single,2021-02-19,Soundtrack,2,MUSIC&NEW
Kitty,Single,2021-11-17,,1,HIGHLINE ENTERTAINMENT
"Adult Trainee, Pt. 2 (Original Soundtrack)",Single,2021-11-21,Soundtrack,2,Genie Music
MY,EP,2022-04-27,,6,Cube Entertainment
에버소울 OST (Cover),Single,2023-02-04,Soundtrack,1,
연애대전 OST Part.1,Single,2023-02-06,Soundtrack,2,Netflix
"My Dearest (Original Television Soundtrack), Pt.4",Single,2023-08-20,Soundtrack,2,Donuts Culture
기도 (한류 시작 20th 프로젝트 Part.3),Single,2024-11-09,,3,
웹툰 ‘괴력난신’ Original Soundtrack Pt. 1,Single,2025-02-12,Soundtrack,2,GRAYGAMES
Sky Walking,Single,2025-08-28,,1,Cube Entertainment
Reno,Single,2025-10-28,,1,Cube Entertainment
"MY, Lover",EP,2025-11-03,,7,Cube Entertainment Inc
Bloom Again,Single,2026-04-13,,2,Kakao Entertainment
