title,type,release_date
NO.MERCY (노머시) Part. 3,Single,2015-02-05
NO.MERCY (노머시) Part.4,Single,2015-02-12
NO.MERCY (노머시) Part.5,Single,2015-02-27
오렌지 마말레이드 OST Part 2,Single,2015-05-01
TRESPASS,EP,2015-05-14
RUSH,EP,2015-09-07
STARSHIP PLANET 2015 (스타쉽플래닛),Single,2015-12-02
Ex Girl,Single,2016-05-09
THE CLAN PART.1 LOST,EP,2016-05-18
THE CLAN PART.2 GUILTY,EP,2016-10-04
쇼핑왕 루이 OST Part.7,Single,2016-10-27
THE CLAN PART 2.5 : THE FINAL CHAPTER - BEAUTIFUL,Album,2017-03-21
HERO,Single,2017-04-26
NEWTON,Single,2017-07-27
Beautiful,Single,2017-08-02
선생님 좋은 밤이예요 Original Television Soundtrack,Single,2017-08-10
THE CODE,EP,2017-11-07
CHRISTMAS DAY,Single,2017-12-08
Lonely Christmas,Single,2017-12-18
SPOTLIGHT,Single,2018-01-10
THE CONNECT : DEJAVU,EP,2018-03-26
PUZZLE,Single,2018-04-09
PIECE,Album,2018-04-25
LIVIN' IT UP,Single,2018-08-01
Take.1 ARE YOU THERE?,Album,2018-10-22
STARSHIP PLANET 2018,Single,2018-12-05
Take.2 WE ARE HERE,Album,2019-02-18
Play It Cool,Single,2019-03-22
Alligator,Single,2019-05-07
WHO DO U LOVE?,Single,2019-06-14
X‐Phenomenon,Single,2019-07-15
Breathe For You,Single,2019-07-24
Carry On,Single,2019-08-12
Phenomenon,Album,2019-08-21
LOVE U,Single,2019-09-20
SOMEONE’S SOMEONE,Single,2019-10-04
FOLLOW – FIND YOU,EP,2019-10-28
MIDDLE OF THE NIGHT,Single,2019-12-06
Magnetic,Single,2019-12-20
ALL ABOUT LUV,Album,2020-02-14
Here We Are,Single,2020-03-18
Wish on the same sky,Single,2020-03-31
FANTASIA X,EP,2020-05-26
Reckless,Single,2020-08-02
FATAL LOVE,Album,2020-11-02
Love Killa,Single,2020-11-16
WANTED,Single,2021-02-10
Flavors of love,Single,2021-04-14
Flavors of love,Album,2021-05-05
One Of a Kind,EP,2021-06-01
Taste of Korea,Single,2021-07-14
KISS OR DEATH,Single,2021-07-26
One Day,Single,2021-09-10
NO LIMIT,EP,2021-11-19
The Dreaming,Album,2021-12-10
SHAPE OF LOVE,EP,2022-04-26
If with U,Single,2022-07-07
Late Night Feels,Single,2022-07-21
REASON,EP,2023-01-09
THE X,EP,2025-09-01
baby blue,Single,2025-11-14
growing pains,Single,2026-02-06
Unfold,Album,2026-04-03
