title,type,release_date,secondary_types,track_count,label
Selfish,Single,2018-05-23,,3,Rainbow Bridge World
낯선 날,Single,2020-02-04,,2,Rainbow Bridge World
Dark Side of the Moon,EP,2020-02-14,,6,Rainbow Bridge World
Promise U,Single,2021-07-19,,2,MAJOR9
G999,Single,2021-12-13,,2,Rainbow Bridge World
머리에서 발끝까지 (Shutdown),Single,2021-12-30,,2,Rainbow Bridge World
6equence,EP,2022-01-19,,7,Rainbow Bridge World
서툰 이별을 하려해,Single,2022-03-28,,2,Room Casting
C.I.T.T (Cheese in the Trap),Single,2022-04-28,,2,Rainbow Bridge World
〈두 번째 세계〉 Episode 3,Single,2022-09-14,,2,STUDIO Jamm
The Present,Single,2022-12-22,,3,Rainbow Bridge World
힘쎈여자 강남순 OST Part. 4,Single,2023-10-28,Soundtrack,2,
Starlit of Muse,Album,2024-02-20,,12,Rainbow Bridge World
Aurora,Single,2025-02-05,,3,Rainbow Bridge World
ICY BBY,Single,2025-06-17,,1,
laundri,EP,2025-08-20,,8,Rainbow Bridge World
S.O.S,Single,2025-11-14,,1,Rainbow Bridge World
REV,Single,2026-03-25,,3,Rainbow Bridge World
