title,type,release_date,secondary_types,track_count,label
Now is the time! : We Are NMIXX,EP,2022-02-04,Spokenword,8,JYP Entertainment
Special Message : NMIXX is coming!,EP,2022-02-11,Spokenword,4,JYP Entertainment
AD MARE,Single,2022-02-22,,4,JYP Entertainment
개비의 매직하우스 OST × NMIXX,Single,2022-05-02,Soundtrack,4,VLENDING
Kiss,Single,2022-07-31,,2,Warner Music Korea
ENTWURF,Single,2022-09-19,,4,JYP Entertainment
Funky Glitter Christmas,Single,2022-11-23,,1,JYP Entertainment
"Young, Dumb, Stupid",Single,2023-03-12,,1,JYP Entertainment
expérgo,EP,2023-03-20,,6,JYP Entertainment
Roller Coaster,Single,2023-07-03,,1,JYP Entertainment
A Midsummer NMIXX’s Dream,Single,2023-07-11,,4,JYP Entertainment
Soñar (Breaker),Single,2023-12-04,,1,JYP Entertainment
Fe3O4: BREAK,EP,2024-01-15,,7,JYP Entertainment
Like Magic,Single,2024-02-20,,2,JYP Entertainment
蜚蜚 (FEIFEI),Single,2024-07-31,,2,
Fe3O4: STICK OUT,EP,2024-08-19,,6,JYP Entertainment
Come On,Single,2024-09-27,,1,Liquid State
High Horse,Single,2025-03-04,,1,JYP Entertainment
Fe3O4: FORWARD,EP,2025-03-17,,6,JYP Entertainment
MEXE,Single,2025-08-21,,1,MTDRS
Blue Valentine,Album,2025-10-13,,12,JYP Entertainment
TIC TIC,Single,2026-02-26,,1,JYP Entertainment
Heavy Serenade,EP,2026-05-11,,6,Warner Music Japan
