title,type,release_date,secondary_types,track_count,label
Make you happy,EP,2020-06-30,,4,Epic JYP
Step and a step,Single,2020-11-25,,1,Epic JYP
Poppin’ Shakin’,Single,2021-02-20,,1,Epic JYP
Take a picture,Single,2021-03-29,,1,Epic JYP
Take a picture / Poppin’ Shakin’,Single,2021-04-07,,5,Epic Records
Super Summer,Single,2021-07-05,,1,Epic JYP
Chopstick,Single,2021-11-11,,1,Epic JYP
Need U,Single,2021-11-20,,1,Epic JYP
U,Album,2021-11-24,,21,Epic Records
ASOBO,Single,2022-04-12,,1,Epic Records
CLAP CLAP,Single,2022-07-13,,1,Epic JYP
Blue Moon,Single,2022-11-20,,1,Epic JYP
Blue Moon,EP,2022-12-14,,4,Epic JYP
Paradise,Single,2023-03-03,,2,JYP Entertainment
COCONUT,Single,2023-06-29,,1,
COCONUT,Album,2023-07-05,,14,Epic Records
Press Play,Single,2023-10-30,,3,Epic JYP
Memories,Single,2024-02-06,,1,Sony Music Labels Inc.
SWEET NONFICTION,Single,2024-03-14,,1,Epic JYP
RISE UP,Single,2024-07-07,,1,JYP Entertainment
RISE UP,EP,2024-07-24,,2,Epic Records
Buddy Buddy,Single,2024-12-11,,1,
AWAKE,EP,2025-02-05,,8,
LOVE LINE,Single,2025-03-31,,2,Republic Records
LOVE LINE / Shining day,Single,2025-05-26,,2,Sony Music Labels Inc.
♡Emotion,Single,2025-10-17,,1,Sony Music Labels Inc.
New Emotion,Album,2025-11-19,,14,Epic Records
Dear…,Single,2026-03-13,,1,
GOOD GIRL BUT NOT FOR YOU,EP,2026-04-01,,3,Sony Music Labels Inc.
