title,type,release_date,secondary_types,track_count,label
DISHARMONY: STAND OUT,EP,2020-10-28,,6,FNC Entertainment
DISHARMONY : BREAK OUT,EP,2021-04-20,,6,FNC Entertainment
DISHARMONY : FIND OUT,EP,2022-01-03,,7,FNC Entertainment
Gotta Get Back,Single,2022-05-26,,1,ADA Korea
HARMONY : ZERO IN,EP,2022-07-20,,6,FNC Entertainment
HARMONY : SET IN,EP,2022-11-30,,6,FNC Entertainment
Super Chic,Single,2023-04-21,,1,FNC Entertainment
HARMONY : ALL IN,EP,2023-06-08,,6,FNC Entertainment
Fall in Love Again,Single,2023-11-09,,2,FNC Entertainment
때깔 (Killin’ It),Album,2024-02-05,,10,FNC Entertainment
SAD SONG,EP,2024-09-20,,7,FNC Entertainment
"STAGE FIGHTER(STF) Original, Vol. 2",Single,2024-10-08,Soundtrack,2,Genie Music
DUH!,EP,2025-05-08,,6,FNC Entertainment
EX,EP,2025-09-26,,5,hello82
UNIQUE,EP,2026-03-12,,6,FNC Entertainment
