title,type,release_date,secondary_types,track_count,label
Memories,Single,2023-08-21,,1,SM Entertainment
Get a Guitar,Single,2023-09-04,,2,SM Entertainment
Talk Saxy,Single,2023-10-27,,1,SM Entertainment
씰룩 (SEALOOK) OST,Single,2023-11-04,Soundtrack,2,"The Pinkfong Company, Inc."
SEALOOK OST,Single,2023-11-24,Soundtrack,2,"The Pinkfong Company, Inc."
Love 119,Single,2024-01-05,,1,EMI Records
Siren,Single,2024-04-03,,1,EMI Records
Impossible,Single,2024-04-18,,2,EMI Records
RIIZING,EP,2024-04-28,,5,UNIVERSAL MUSIC LLC
Same Key,Single,2024-07-13,Soundtrack,1,EMI Records
Lucky,Single,2024-07-29,,3,EMI Records
RE:WORKS,EP,2024-10-10,Remix,3,ScreaM Records
Hug,Single,2025-01-08,,1,SM Entertainment
ODYSSEY,Album,2025-05-19,,10,SM Entertainment
Fame,Single,2025-11-24,,3,SM Entertainment
All of You,Single,2026-02-09,,1,EMI Records
