title,type,release_date,secondary_types,track_count,label
P.D.D,Single,2015-03-05,,1,BigHit Entertainment
RM,Album,2015-03-20,Mixtape/Street,11,BigHit Entertainment
Fantastic,Single,2015-08-04,,1,BigHit Entertainment
알아요,Single,2016-05-31,Soundtrack,1,[no label]
Always,Single,2017-01-01,,1,BigHit Entertainment
Change,Single,2017-03-20,,1,BIGHIT MUSIC
땡,Single,2018-06-10,,1,BigHit Entertainment
mono.,EP,2018-10-23,Mixtape/Street,7,BigHit Entertainment
Crying Over You ◐,Single,2019-03-27,,1,Atlantic Records UK
Bicycle,Single,2021-06-07,,1,BIGHIT MUSIC
SEXY NUKIM,Single,2022-09-01,,1,[no label]
Indigo,Album,2022-12-02,,10,BIGHIT MUSIC
Lost!,Single,2024,,1,
Come back to me,Single,2024-05-10,,2,BIGHIT MUSIC
"Right Place, Wrong Person",Album,2024-05-24,,11,BIGHIT MUSIC
Neva Play,Single,2024-09-05,,1,Hot Girl Productions
Stop the Rain,Single,2025-05-02,,1,OURS Co.
