title,type,release_date
Happiness,Single,2014-08-01
Be Natural,Single,2014-10-09
Ice Cream Cake,EP,2015-03-17
The Red,Album,2015-09-09
세가지 소원 (Wish Tree),Single,2015-12-18
The Velvet,EP,2016-03-17
애니메이션 텔레몬스터 OST,Single,2016-05-02
Russian Roulette,EP,2016-09-07
Rookie,EP,2017-02-01
Would U,Single,2017-03-31
The Red Summer,EP,2017-07-09
환생 (Rebirth),Single,2017-08-17
Perfect Velvet,Album,2017-11-17
투유 프로젝트 - 슈가맨2 Part.3,Single,2018-01-29
#Cookie Jar,Single,2018-06-13
#Cookie Jar,EP,2018-07-04
Summer Magic,EP,2018-08-06
RBB,EP,2018-11-30
SAPPY,Single,2019-01-06
Sayonara,Single,2019-02-20
Close to Me (Red Velvet remix),Single,2019-04-05
Power Up,Single,2019-04-24
SAPPY,EP,2019-05-29
‘The ReVe Festival’ Day 1,EP,2019-06-19
호텔 델루나 OST Part.8,Single,2019-08-10
‘The ReVe Festival’ Day 2,EP,2019-08-20
Our Beloved BoA #4,Single,2020-08-21
스타트업 (Start-Up) OST Part. 1,Single,2020-10-17
Queendom,EP,2021-08-16
"iScreaM, Vol.11 : Queendom Remix",Single,2021-10-15
"iScreaM, Vol.12 : Bad Boy Remixes",Single,2021-11-01
‘The ReVe Festival 2022 - Feel My Rhythm’,EP,2022-03-21
Bloom,Single,2022-03-28
Bloom,Album,2022-04-06
‘The ReVe Festival 2022 - Birthday’,EP,2022-11-28
Beautiful Christmas,Single,2022-12-14
iScreaM Vol.25 : 빨간 맛 (Red Flavor) Remix,Single,2023-08-31
Chill Kill,Album,2023-11-13
Cosmic,EP,2024-06-24
