title,type,release_date,secondary_types,track_count,label
함부로 애틋하게 OST Part 7,Single,2016-07-22,Soundtrack,4,SM Entertainment
복면가왕 79회,Single,2016-10-02,Live,1,VLENDING
Darling U,Single,2017-01-22,,2,SM Entertainment
"Fall, in girl Vol.3",Single,2017-02-21,,1,Kakao Entertainment
인형,Single,2017-10-27,,2,SM Entertainment
Wow Thing,Single,2018-09-28,,2,SM Entertainment
왕이 된 남자 OST Part.5,Single,2019-02-12,Soundtrack,2,MUSIC&NEW
2021 지금 다시 하나되어,Single,2021-05-17,,3,Korea Entertainment Producer's Association
Rose,Single,2021-06-06,,1,SM Entertainment
Who Are You,Single,2021-12-28,,2,ABYSS Company
28 Reasons,EP,2022-10-04,,6,SM Entertainment
Unexpected Business Season 3: Polaroid (Original Television Soundtrack),Single,2023-12-28,Soundtrack,1,Warner Music Korea
Lucky,Single,2025-01-15,,2,Danal Entertainment
Accidentally on Purpose,EP,2025-03-10,,6,SM Entertainment
