title,type,release_date,secondary_types,track_count,label
행복하지마,Single,2014-01-09,,2,WA Entertainment
썸남썸녀,Single,2014-02-11,,2,WA Entertainment
히히하헤호,Single,2014-05-30,,2,WA Entertainment
Hello,EP,2014-06-18,,7,Rainbow Bridge World
내겐 너무 사랑스러운 그녀 OST Part.1,Single,2014-09-18,Soundtrack,2,Dreamus
Piano Man,EP,2014-11-21,,5,WA Entertainment
SPY OST Code No. 4,Single,2015-02-06,Soundtrack,2,
AHH OOP!,Single,2015-04-02,,2,Rainbow Bridge World
Pink Funky,EP,2015-06-19,,9,CJ E&M
Innisia Nest OST,Single,2015-09-16,Soundtrack,2,Rainbow Bridge World
I Miss You,Single,2016-01-29,,2,Rainbow Bridge World
1cm의 자존심,Single,2016-02-12,,1,Rainbow Bridge World
Melting,Album,2016-02-26,,12,Rainbow Bridge World
LG G5 & Friends OST,Single,2016-04-04,Soundtrack,2,Rainbow Bridge World
투유 프로젝트 - 슈가맨 Pt.30,Single,2016-05-11,Soundtrack,2,JTBC
"Angel, DABDAB",Single,2016-08-31,,2,Rainbow Bridge World
NEW YORK,Single,2016-09-21,,1,Rainbow Bridge World
MEMORY,EP,2016-11-07,,8,Rainbow Bridge World
도깨비 OST Part 13,Single,2017-01-15,Soundtrack,2,CJ E&M
Strong Woman Do Bong Soon OST Part 5,Single,2017-03-24,Soundtrack,2,JTBC Content Hub
Man to Man OST Part 5,Single,2017-05-19,Soundtrack,2,JTBC Content Hub
Purple,EP,2017-06-22,,5,Rainbow Bridge World
Taste The Feeling,Single,2017-11-09,,1,Rainbow Bridge World
Paint Me,Single,2018-01-04,,2,Rainbow Bridge World
"Sugar Man2, Pt. 7",Single,2018-03-05,Soundtrack,2,JTBC
Yellow Flower,EP,2018-03-07,,7,Rainbow Bridge World
매일 봐요 (MAEIL BIO),Single,2018-03-30,,1,Rainbow Bridge World
"Suits, Pt. 3 (Original Television Soundtrack)",Single,2018-05-09,Soundtrack,2,Stone Music Entertainment
RAINY SEASON,Single,2018-07-01,,1,Rainbow Bridge World
RED MOON,EP,2018-07-16,,6,Rainbow Bridge World
BLUE;S,EP,2018-11-29,,6,Rainbow Bridge World
White Wind,EP,2019-03-14,,7,Rainbow Bridge World
"Search: WWW (Original Television Soundtrack), Pt. 5",Single,2019-07-04,Soundtrack,2,Stone Music Entertainment
다 빛이나,Single,2019-07-24,,2,Genie Music
4colors,Album,2019-08-07,,12,Victor
Queendom < Box of Pandora > Pt. 1,Single,2019-10-18,,2,
reality in BLACK,Album,2019-11-14,,11,Rainbow Bridge World
낭만닥터 김사부 2 (Original Television Soundtrack) Pt.6,Single,2020-01-28,Soundtrack,2,
Shampoo,Single,2020-02-19,,1,Victor
WANNA BE MYSELF,Single,2020-09-10,,2,Rainbow Bridge World
딩가딩가 (Dingga),Single,2020-10-20,,2,Rainbow Bridge World
TRAVEL,EP,2020-11-03,,5,Rainbow Bridge World
WAW,EP,2021-06-02,,4,Rainbow Bridge World
MIC ON,EP,2022-10-11,,3,Rainbow Bridge World
[HWASA SHOW vol.3] MMM Simile,Single,2023-02-19,Live,2,Rainbow Bridge World
