title,type,release_date
2 Cool 4 Skool,Single,2013-06-12
"O!RUL8,2?",EP,2013-09-11
Skool Luv Affair,EP,2014-02-12
NO MORE DREAM,Single,2014-06-04
BOY IN LUV,Single,2014-07-16
DARK&WILD,Album,2014-08-20
Danger,Single,2014-11-19
Danger (Mo-Blue-Mix),Single,2014-11-21
WAKE UP,Album,2014-12-24
화양연화 pt.1,EP,2015-04-29
FOR YOU,Single,2015-06-17
화양연화 pt.2,EP,2015-11-30
I NEED U,Single,2015-12-08
RUN,Single,2016-03-15
YOUTH,Album,2016-09-07
WINGS,Album,2016-10-10
LOVE YOURSELF 承 ‘Her’,EP,2017-04-10
血、汗、涙,Single,2017-05-10
Come Back Home,Single,2017-07-04
MIC Drop / DNA / Crystal Snow,Single,2017-12-06
With Seoul,Single,2017-12-13
FACE YOURSELF,Album,2018-04-04
LOVE YOURSELF 轉 ‘Tear’,Album,2018-05-18
FAKE LOVE (Rocking Vibe mix),Single,2018-06-04
Waste It on Me,Single,2018-10-25
FAKE LOVE / Airplane pt.2,Single,2018-11-07
MAP OF THE SOUL : PERSONA,EP,2019-04-12
Dream Glow (BTS WORLD OST Part.1),Single,2019-06-07
A Brand New Day,Single,2019-06-14
All Night (BTS World Original Soundtrack) (Pt. 3),Single,2019-06-21
Lights / Boy With Luv,Single,2019-07-03
Make It Right,Single,2019-10-18
SUGA’s Interlude,Single,2019-12-06
Black Swan,Single,2020-01-17
MAP OF THE SOUL : 7,Album,2020-02-21
Stay Gold,Single,2020-06-19
MAP OF THE SOUL : 7 〜 THE JOURNEY 〜,Album,2020-07-14
Dynamite,Single,2020-08-21
IONIQ: I'm on It,Single,2020-08-31
Savage Love (Laxed - Siren Beat),Single,2020-10-02
BE,Album,2020-11-20
Film out,Single,2021-04-01
Butter,Single,2021-05-21
"Butter (Hotter, Sweeter, Cooler)",Single,2021-06-04
Permission to Dance,Single,2021-07-09
My Universe,Single,2021-09-24
My Universe (instrumental),Single,2021-09-24
Yet to Come (The Most Beautiful Moment),Single,2022-06-10
bad decisions,Single,2022-08-04
Bad Decisions (acoustic),Single,2022-08-04
The Planet,Single,2023-05-12
Take Two,Single,2023-06-09
ARIRANG,Album,2026-03-20
SWIM,Single,2026-03-20
SWIMSIDE: A Message from BTS,Single,2026-03-27
KEEP SWIMMING,Single,2026-03-27
