title,type,release_date,secondary_types,track_count,label
나의 영웅 (My Hero),Single,2016-07-01,,2,SM Entertainment
커튼 (Curtain),Single,2017-02-03,,2,SM Entertainment
우주의 별이 OST,Single,2017-02-10,Soundtrack,4,SM Entertainment
Beautiful Accident,Single,2017-05-30,,1,SM Entertainment
Dinner,Single,2018-03-10,,2,SM Entertainment
Self-Portrait,EP,2020-03-30,,6,SM Entertainment
Grey Suit,EP,2022-04-04,,6,SM Entertainment
Turn Off The Alarm,Single,2022-10-22,,1,
Morning Call,Single,2023-04-17,,2,Dramatic Company
점선면 (1 to 3),Album,2024,,7,
1 to 3,EP,2024-05-31,,7,SM Entertainment
Who Are You,EP,2025-09-22,,7,SM Entertainment
Seasons of Love 0.3 : Winter is coming,Single,2025-11-02,,1,
I’ll be here,Single,2025-11-30,,1,SM Entertainment
