title,type,release_date,secondary_types,track_count,label
Hellevator,Single,2017-11-01,,1,JYP Entertainment
Mixtape,EP,2018-01-08,Mixtape/Street,7,JYP Entertainment
I am NOT,EP,2018-03-26,,8,JYP Entertainment
I am WHO,EP,2018-08-06,,8,JYP Entertainment
I am YOU,EP,2018-10-22,,7,JYP Entertainment
Clé 1 : MIROH,EP,2019-03-25,,8,JYP Entertainment
Clé 2 : Yellow Wood,EP,2019-06-19,Compilation,3,JYP Entertainment
Double Knot,Single,2019-10-09,,1,JYP Entertainment
어쩌다 발견한 하루 OST Part.7,Single,2019-11-07,Soundtrack,2,
Clé : LEVANTER,EP,2019-12-09,,7,JYP Entertainment
Mixtape : Gone Days,Single,2019-12-26,,1,
Step Out of Clé,Single,2020-01-24,,2,JYP Entertainment
Mixtape : On Track,Single,2020-03-25,,1,
TOP,Single,2020-05-13,,2,JYP Entertainment
GO生,Album,2020-06-17,,14,JYP Entertainment
POP OUT BOY! Part.1,Single,2020-07-16,Soundtrack,2,PLAYLIST
ALL IN,EP,2020-11-04,,7,Epic JYP
Going Dumb,Single,2021-03-19,,2,Liquid State
킹덤 <FINAL : WHO IS THE KING?>,EP,2021-05-28,,6,Stone Music Entertainment
Mixtape : OH,Single,2021-06-25,,1,JYP Entertainment
NOEASY,Album,2021-08-23,,14,JYP Entertainment
Scars,Single,2021-10-06,,1,Epic JYP
Christmas EveL,EP,2021-11-29,,4,JYP Entertainment
ODDINARY,EP,2022-03-18,,7,JYP Entertainment
CIRCUS,EP,2022-06-22,,6,Epic JYP
Mixtape : Time Out,Single,2022-08-01,,1,Republic Records
MAXIDENT,EP,2022-10-07,,8,JYP Entertainment
THE SOUND,Album,2023-02-22,,17,Epic Records
★★★★★,Album,2023-06-02,,12,JYP Entertainment
Social Path,Single,2023-08-30,,1,Epic JYP
樂-STAR,EP,2023-11-10,,8,JYP Entertainment
Like Magic,Single,2024-02-20,,2,JYP Entertainment
WHY?,Single,2024-04-12,,1,Epic JYP
Lose My Breath,Single,2024-05-10,,2,Republic Records
ATE,EP,2024-07-19,,8,Epic JYP
SLASH,Single,2024-07-23,,1,Republic Records
NIGHT,Single,2024-10-06,Soundtrack,2,
Falling Up,Single,2024-10-07,,1,Epic JYP
Come Play (from the series Arcane League of Legends),Single,2024-10-16,Soundtrack,1,Riot Games
GIANT,Album,2024-11-13,,10,Epic Records
合 (HOP),EP,2024-12-13,Mixtape/Street,12,JYP Entertainment
Mixtape : dominATE,EP,2025-03-21,Mixtape/Street,5,
Hollow,Single,2025-06-11,,1,JYP Entertainment
Hollow,EP,2025-06-18,,5,Epic Records
KARMA,Album,2025-08-22,,11,JYP Entertainment
In The Dark,Single,2025-11-06,,1,
DO IT,EP,2025-11-21,Mixtape/Street,5,JYP Entertainment
Endless Sun,Single,2026-03-13,,1,JYP Entertainment
"별, 빛 (STAY)",Single,2026-03-25,,1,JYP Entertainment
