title,type,release_date,secondary_types,track_count,label
THE FIRST STEP : CHAPTER ONE,Single,2020-08-07,,2,YG Entertainment
THE FIRST STEP : CHAPTER TWO,Single,2020-09-18,,2,YG Entertainment
THE FIRST STEP : CHAPTER THREE,Single,2020-11-06,,2,YG Entertainment
THE FIRST STEP : TREASURE EFFECT,Album,2021-01-11,,10,YG Entertainment
BEAUTIFUL,Single,2021-01-22,,1,YGEX
THE SECOND STEP : CHAPTER ONE,EP,2022-02-15,,4,YG Entertainment
THE SECOND STEP : CHAPTER TWO,EP,2022-10-04,,5,YG Entertainment
MOVE (T5),Album,2023-01-28,,1,
Here I Stand,Single,2023-01-30,,1,YGEX
REBOOT,Album,2023-07-28,,10,YGEX
BONA BONA,Single,2023-09-25,,1,YGEX
KING KONG,Single,2024-05-28,,1,Columbia Records
REVERSE,Single,2024-07-27,,1,YGEX
KING KONG / REVERSE,Single,2024-08-19,,2,YGEX
LAST NIGHT,Single,2024-12-05,,1,
PLEASURE,EP,2025-03-07,,4,YG Entertainment
LOVE PULSE,EP,2025-09-01,,4,YG Entertainment
