title,type,release_date,secondary_types,track_count,label
THE STORY BEGINS,EP,2015-10-20,,6,JYP Entertainment
PAGE TWO,EP,2016-04-25,,6,JYP Entertainment
TWICEcoaster : LANE 1,EP,2016-10-24,,7,JYP Entertainment
WHAT’S TWICE?,EP,2017-02-24,Compilation,4,Warner Music Japan
SIGNAL,EP,2017-05-15,,6,JYP Entertainment
One More Time,Single,2017-10-13,,1,Warner Music Japan
twicetagram,Album,2017-10-30,,13,Warner Music Japan
Candy Pop,Single,2018-01-12,,1,Warner Music Japan
What is Love?,EP,2018-04-09,,5,Warner Music Japan
Wake Me Up,Single,2018-04-25,,1,Warner Music Japan
I WANT YOU BACK,Single,2018-06-15,Soundtrack,1,Warner Music Japan
BDZ,Single,2018-08-17,,1,Warner Music Japan
BDZ,Album,2018-09-12,,10,Warner Music Japan
STAY BY MY SIDE,Single,2018-10-22,,1,Warner Music Japan
YES or YES,EP,2018-11-05,,7,Warner Music Japan
FANCY YOU,EP,2019-04-22,,6,Warner Music Japan
Breakthrough,Single,2019-06-12,,1,Warner Music Japan
HAPPY HAPPY,Single,2019-06-12,,1,Warner Music Japan
Feel Special,EP,2019-09-23,,7,Warner Music Japan
Fake & True,Single,2019-10-18,,1,Warner Music Japan
&TWICE,Album,2019-11-20,,10,Warner Music Japan
MORE & MORE,EP,2020-06-01,,7,Warner Music Japan
Fanfare,Single,2020-06-19,,1,Warner Music Japan
Eyes wide open,Album,2020-10-26,,13,Warner Music Japan
BETTER,Single,2020-11-11,,1,Warner Music Japan
CRY FOR ME,Single,2020-12-18,,1,Warner Music Japan
Kura Kura,Single,2021-04-21,,1,Warner Music Japan
Alcohol‐Free,Single,2021-06-09,,1,Warner Music Japan
Taste of Love,EP,2021-06-11,,6,Warner Music Japan
Perfect World,Single,2021-06-30,,1,Warner Music Japan
슬기로운 의사생활 시즌2 OST Part 4,Single,2021-07-09,Soundtrack,2,Stone Music Entertainment
Perfect World,Album,2021-07-28,,10,Warner Music Japan
The Feels,Single,2021-10-01,,6,JYP Entertainment
Formula of Love: O+T=<3,Album,2021-11-12,,16,Warner Music Japan
Doughnut,Single,2021-12-02,,1,Warner Music Japan
Just be yourself,Single,2022-03-22,,1,Warner Music Japan
Celebrate,Single,2022-07-15,,1,Warner Music Japan
Celebrate,Album,2022-07-27,,14,Warner Music Japan
BETWEEN 1&2,EP,2022-08-26,,7,Warner Music Japan
MOONLIGHT SUNRISE,Single,2023-01-20,,1,Warner Music Japan
READY TO BE,EP,2023-03-10,,7,Warner Music Japan
Hare Hare,Single,2023-05-12,,1,Warner Music Japan
Dance Again,Single,2023-12-12,,1,JYP Entertainment
I GOT YOU,Single,2024-02-02,,2,Warner Music Japan
ONE SPARK,Single,2024-02-23,,1,JYP Entertainment
With YOU‐th,EP,2024-02-23,,6,Warner Music Japan
DIVE,Single,2024-07-10,,1,Warner Music Japan
DIVE,Album,2024-07-17,,14,Warner Music Japan
Track by Track: TWICE,EP,2024-07-18,Spokenword,9,Amazon Content Services
STRATEGY,EP,2024-12-06,,7,JYP Entertainment
Strategy 2.0,Single,2024-12-11,Remix,5,Universal
The wish,Single,2024-12-16,,1,Warner Music Japan
Takedown,Single,2025-06-20,Soundtrack,2,JYP Entertainment
THIS IS FOR,Album,2025-07-11,,14,JYP Entertainment
ENEMY,Single,2025-07-30,,1,Warner Music Japan
superstars,Single,2025-07-31,,1,Warner Records
Like 1,Single,2025-08-20,,1,Warner Music Japan
ENEMY,Album,2025-08-26,,9,Warner Music Japan
TEN: The Story Goes On,Album,2025-10-10,,10,JYP Entertainment
