title,type,release_date,secondary_types,track_count,label
Oh Mymy : 7s,Single,2024-01-02,,1,UNIVERSAL MUSIC LLC
Sparkling Blue,EP,2024-01-22,,5,Virgin Music
hey! hey!,Single,2024-06-05,,1,PLEDIS Entertainment
SUMMER BEAT!,EP,2024-06-24,,6,PLEDIS Entertainment
Uptown Girl,Single,2024-06-28,,2,Genie Music
Last Bell,Single,2024-11-25,,3,PLEDIS Entertainment
TWS 3rd Mini Album 'TRY WITH US',EP,2025,,6,PLEDIS Entertainment
TRY WITH US,EP,2025-04-21,,6,PLEDIS Entertainment
BLOOM,Single,2025-06-01,,1,PLEDIS Entertainment
"굿보이 (Original Television Soundtrack), Pt. 4",Single,2025-06-22,Soundtrack,2,SLL
はじめまして,Single,2025-06-30,,3,Virgin Music
Head Shoulders Knees Toes,Single,2025-09-22,,1,PLEDIS Entertainment
play hard,EP,2025-10-13,,6,PLEDIS Entertainment
YOU LIKE IT I LOVE IT,Single,2026-03-23,,2,NHN Bugs
NO TRAGEDY,EP,2026-04-27,,6,PLEDIS Entertainment
