title,type,release_date
The Dream Chapter: STAR,EP,2019-03-04
Cat & Dog,Single,2019-05-03
Our Summer (Acoustic Mix),Single,2019-05-31
The Dream Chapter: MAGIC,Album,2019-10-21
MAGIC HOUR,Single,2020-01-15
The Dream Chapter: ETERNITY,EP,2020-05-18
DRAMA,Single,2020-08-19
minisode1 : Blue Hour,EP,2020-10-26
"Your Light (From the Original TV Show ""Live On"")",Single,2020-11-24
STILL DREAMING,Album,2021-01-19
"Doom at Your Service (Original Television Soundtrack), Pt. 2",Single,2021-05-24
The Chaos Chapter: FREEZE,Album,2021-05-31
0X1=LOVESONG (I Know I Love You) [feat. MOD SUN],Single,2021-09-10
EYES (감은 눈을 떠봐),Single,2021-11-04
Chaotic Wonderland,EP,2021-11-09
PS5,Single,2022-02-23
minisode 2: Thursday’s Child,EP,2022-05-09
Valley of Lies,Single,2022-07-22
GOOD BOY GONE BAD,Single,2022-08-30
Free Falling,Single,2022-09-22
The Name Chapter: TEMPTATION,EP,2023-01-27
Goodbye Now (Love Revolution X TOMORROW X TOGETHER) [Original Webtoon Soundtrack],Single,2023-02-22
SWEET,Album,2023-07-05
Do It Like That,Single,2023-07-07
Back for More,Single,2023-09-15
The Name Chapter: FREEFALL,Album,2023-10-13
minisode 3: TOMORROW,EP,2024-04-01
誓い (CHIKAI),Single,2024-07-02
Open Always Wins,Single,2024-07-17
The Star Chapter: SANCTUARY,EP,2024-11-04
Love Story [The Seasons: Rainbow of Lee Young Ji],Single,2024-11-15
"BREWING LOVE, Pt. 5 (Original Soundtrack)",Single,2024-11-18
Rise,Single,2025-04-06
Love Language,Single,2025-05-02
"Resident Playbook, Pt. 9 (Original Soundtrack)",Single,2025-05-11
Step by Step,Single,2025-05-25
butterflies,Single,2025-07-10
The Star Chapter: TOGETHER,Album,2025-07-21
Starkissed,Album,2025-10-19
SSS (Sending Secret Signals) feat. HYDE,Single,2026-01-25
7TH YEAR: 가시덤불에 잠시 바람이 멈췄을 때,EP,2026-04-13
