title,type,release_date,secondary_types,track_count,label
"HWARANG, Pt. 2 (Music from the Original TV Series)",Single,2016-12-20,Soundtrack,2,OH!BOY PROJECT
Winter Bear,Single,2019-08-09,,1,BigHit Entertainment
ITAEWON CLASS (Original Television Soundtrack) Pt. 12,Single,2020-03-13,Soundtrack,2,VLENDING
It's Definitely You,Album,2020-04-10,,12,
"Our Beloved Summer (Original Television Soundtrack), Pt. 5",Single,2021-12-24,Soundtrack,2,MOST CONTENTS
Layover,Single,2023-08-11,,2,BIGHIT MUSIC
Layover,EP,2023-09-08,,6,BIGHIT MUSIC
Slow Dancing,Single,2023-09-08,,1,BIGHIT MUSIC
wherever u r,Single,2023-12-30,,1,
FRI(END)S,Single,2024-03-15,,4,BIGHIT MUSIC
Winter Ahead,Single,2024-11-29,,1,BIGHIT MUSIC
White Christmas,Single,2024-12-06,,2,Geffen Records
Winter Ahead (instrumental),Single,2025-01-31,Remix,1,BIGHIT MUSIC
