title,type,release_date
나르시스 (Narcissus),Single,2016-04-15
Ex Girl,Single,2016-05-09
magnolia,Single,2018-04-17
soar,Single,2019-09-04
슬기로운 의사생활 OST Part 8,Single,2020-05-01
When It Snows mmm,Single,2020-12-23
Redd,EP,2021-04-13
홀로 크리스마스,Single,2021-11-12
WHEE,EP,2022-01-16
"너, 너 (N번째 연애 X 휘인 (Whee In))",Single,2022-02-13
[Vol.131] 유희열의 스케치북 With you : 여든 다섯번째 목소리 '유스케 X 휘인',Single,2022-04-02
[Vol.132] 유희열의 스케치북 With you : 여든 다섯번째 목소리 '유스케 X 휘인',Single,2022-04-09
D‐DAY,Single,2022-04-17
Sunny Shower,Single,2022-11-09
IN the mood,Album,2023-10-12
휘이,Single,2024-02-15
coco water,Single,2024-07-12
Aftertaste,Single,2025-01-09
Butterfly,Single,2025-02-13
Angel line of MAMAMOO,Single,2025-12-10
adagio,Single,2026-04-16
