title,type,release_date,secondary_types,track_count,label
Star to a Young Culture,Single,2020-11-12,,2,High Up Entertainment
STAYDOM,Single,2021-04-08,,4,High Up Entertainment
STEREOTYPE,EP,2021-09-06,,4,High Up Entertainment
YOUNG‐LUV.COM,EP,2022-02-21,,6,High Up Entertainment
우리들의 블루스 OST Part 8,Single,2022-05-15,Soundtrack,2,YamYam Entertainment
WE NEED LOVE,Single,2022-07-19,,4,High Up Entertainment
POPPY,Single,2022-11-16,,1,EMI Records
Teddy Bear,Single,2023-02-14,,2,High Up Entertainment
TEENFRESH,EP,2023-08-16,,6,High Up Entertainment
LIT,Single,2023-11-29,,1,EMI Records
Fancy,Single,2024-03-15,,1,High Up Entertainment
Metamorphic,Album,2024-07-01,,14,High Up Entertainment
…l,Single,2024-10-30,,4,
"Over U, Goodbye (Seeun x J)",Single,2024-12-24,,1,High Up Entertainment
S,Single,2025-03-18,,3,High Up Entertainment
I WANT IT,Single,2025-07-23,,3,High Up Entertainment
STAY ALIVE,Album,2026-02-11,,17,EMI Records
