title,type,release_date,secondary_types,track_count,label
A Page,Single,2021-05-13,,2,Cube Entertainment
연애대전 OST Part.1,Single,2023-02-06,Soundtrack,2,Netflix
신데렐라는 내가 아니었다 OST Part 1,Single,2023-02-23,Soundtrack,1,
漆黑的空间《灰色轨迹 (国语版)》,Single,2023-11-28,,2,Sony Music
Fire!,Single,2023-12-14,,1,
내 남편과 결혼해줘 OST Special Track,Single,2024-02-27,Soundtrack,2,VLENDING
Could It Be,Single,2024-04-05,,1,Cube Entertainment
YUQ1,EP,2024-04-23,,7,Cube Entertainment
造浪,Single,2024-06-25,Soundtrack,2,索尼音樂娛樂中國控股有限公司
Radio (Dum‐Dum),Single,2025-03-17,,1,
FENDI,Single,2025-04-09,,1,BMG
Fly to the youth,Single,2025-06-17,,1,Cube Entertainment
COPDD,Single,2025-08-10,,2,
Motivation,Single,2025-09-16,,3,Cube Entertainment
