title,type,release_date,secondary_types,track_count,label
YOUTH IN THE SHADE,EP,2023-07-10,,6,WAKEONE
MELTING POINT,EP,2023-11-06,,5,WAKEONE
ゆらゆら -運命の花-,Single,2024-03-08,,1,Sony Music Labels Inc.
SWEAT,Single,2024-04-24,,1,WAKEONE
You had me at HELLO,EP,2024-05-13,,7,WAKEONE
CINEMA PARADISE,EP,2024-08-26,,7,WAKEONE
"Love Next Door, Pt. 3 (Original Soundtrack)",Single,2024-09-08,Soundtrack,2,Genie Music
Only One Story,Single,2024-10-11,,1,Sony Music Labels Inc.
"STAGE FIGHTER(STF) Original, Vol. 6",Single,2024-11-26,,2,Stone Music Entertainment
Doctor! Doctor!,Single,2025-01-20,,1,Virgin Music Group
PREZENT,EP,2025-01-29,,6,
BLUE PARADISE,EP,2025-02-24,,6,WAKEONE
"Head over Heels, Pt. 1 (Original Soundtrack)",Single,2025-06-24,Soundtrack,2,Genie Music
SLAM DUNK,Single,2025-07-23,,1,WAKEONE
NEVER SAY NEVER,Album,2025-09-01,,10,WAKEONE
Running to Future,Single,2026-01-09,,1,WAKEONE
ROSES,Single,2026-01-23,,1,WAKEONE
RE-FLOW,EP,2026-02-02,,3,WAKEONE
