title,type,release_date,secondary_types,track_count,label
유리구두,Single,2017-11-30,,1,Stone Music Entertainment
To. Heart,EP,2018-01-24,,6,Stone Music Entertainment
To. Day,EP,2018-06-05,,6,Stone Music Entertainment
From.9,Single,2018-10-10,,5,OFF THE RECORD Entertainment
FUN FACTORY,Single,2019-06-04,,3,OFF THE RECORD Entertainment
My Little Society,EP,2020-09-16,,5,OFF THE RECORD Entertainment
9 Way Ticket,Single,2021-05-17,,3,OFF THE RECORD Entertainment
Talk & Talk,Single,2021-09-01,,1,PLEDIS Entertainment
싸이월드 BGM 2021,Single,2021-09-08,,2,Dreamus
Midnight Guest,EP,2022-01-17,,5,PLEDIS Entertainment
from our Memento Box,EP,2022-06-27,,5,PLEDIS Entertainment
달빛바다,Single,2022-07-24,,2,Warner Music Korea
Unlock My World,Album,2023-06-05,,10,UNIVERSAL MUSIC LLC
Love Me Back,Single,2023-10-11,Soundtrack,2,MOST CONTENTS
Supersonic,Single,2024-08-12,,3,PLEDIS Entertainment
from,Single,2024-12-23,,1,PLEDIS Entertainment
From Our 20’s,EP,2025-06-25,,6,ASND
White Memories,Single,2025-12-02,,1,ASND
