title,type,release_date,secondary_types,track_count,label
I am,EP,2018-05-02,,6,Cube Entertainment
ONE,Single,2018-06-17,,4,Cube Entertainment
한(一),Single,2018-08-14,,1,Cube Entertainment
달려! (Relay),Single,2018-11-19,Soundtrack,2,LINE FRIENDS
I made,EP,2019-02-26,,5,Cube Entertainment
그녀의 사생활 OST Part 1,Single,2019-04-11,Soundtrack,2,Stone Music Entertainment
Uh-Oh,Single,2019-06-26,,1,Cube Entertainment
LATATA,EP,2019-07-29,,5,U CUBE
Queendom < Box of Pandora > Pt. 1,Single,2019-10-18,,2,
"Sugar Man 3, EPISODE.8",Single,2020-02-01,,4,
I trust,EP,2020-04-06,,5,U CUBE
i’M THE TREND,Single,2020-07-07,,1,U CUBE
DUMDi DUMDi,Single,2020-08-03,,2,Cube Entertainment
Oh my god,EP,2020-08-26,,7,U CUBE
MORE,Single,2020-10-28,,1,Riot Games
I burn,EP,2021-01-11,,6,Cube Entertainment
HWAA(火花),Single,2021-01-27,,2,U CUBE
Last Dance,Single,2021-04-29,,1,Warner Music Korea
I NEVER DIE,Album,2022-03-14,,8,Cube Entertainment
I love,EP,2022-10-17,,6,Cube Entertainment
Nxde (Steve Aoki rmx),Single,2022-12-16,Remix,1,Cube Entertainment
I feel,EP,2023-05-15,,6,Cube Entertainment
I DO,Single,2023-07-13,,1,88rising
HEAT,EP,2023-10-05,,5,88rising
Wife,Single,2024-01-21,,1,Cube Entertainment
2,Album,2024-01-29,,8,Cube Entertainment
Abracadabra,Single,2024-03-08,,2,Genie Music
This Time Around,Single,2024-03-15,,1,BMG
I SWAY,EP,2024-07-08,,4,Cube Entertainment
Klaxon,Single,2024-07-08,,1,Cube Entertainment
We are,EP,2025-05-19,,6,Warner Music Japan
′나 혼자만 레벨업:ARISE′ OST,Single,2025-07-03,Soundtrack,2,Genie Music
傷つくのは嫌いだから,Single,2025-09-26,,1,Warner Music Japan
i‐dle,EP,2025-10-03,,5,Warner Music Japan
Mono,Single,2026-01-27,,1,Warner Music Japan
HIDE AND SEEK,Single,2026-04-22,,1,Warner Music Japan
