title,type,release_date,secondary_types,track_count,label
Hope World,EP,2018-03-02,Mixtape/Street,7,BigHit Entertainment
땡,Single,2018-06-10,,1,BigHit Entertainment
Chicken Noodle Soup,Single,2019-09-27,,1,BigHit Entertainment
Blue Side,Single,2021-03-02,,1,BIGHIT MUSIC
MORE,Single,2022-07-01,,1,BIGHIT MUSIC
Jack in the Box,Album,2022-07-15,,10,BIGHIT MUSIC
Rush Hour,Single,2022-09-22,,1,P NATION
on the street,Single,2023-03-03,,1,BIGHIT MUSIC
"HOPE ON THE STREET, VOL.1",EP,2024-03-29,,6,BIGHIT MUSIC
LV Bag,Single,2025-02-20,,1,Atlantic
Sweet Dreams,Single,2025-03-07,,1,BIGHIT MUSIC
MONA LISA,Single,2025-03-21,,1,BIGHIT MUSIC
Killin’ It Girl,Single,2025-06-13,,2,BIGHIT MUSIC
