title,type,release_date,secondary_types,track_count,label
Acid Angel from Asia <ACCESS>,EP,2022-10-28,,6,MODHAUS
ASSEMBLE,EP,2023-02-13,,7,MODHAUS
+(KR)ystal Eyes <AESTHETIC>,EP,2023-05-04,,6,MODHAUS
Acid Eyes <Cherry Gene>,Single,2023-06-06,,1,MODHAUS
+(KR)ystal Eyes <Touch+>,Single,2023-06-27,,1,MODHAUS
LOVElution <ↀ>,EP,2023-08-17,,8,MODHAUS
EVOLution <⟡>,EP,2023-10-11,,8,MODHAUS
NXT <Just Do It>,Single,2023-12-23,,1,MODHAUS
Aria <Structure of Sadness>,Single,2024-01-15,,2,MODHAUS
<ASSEMBLE24>,Album,2024-05-08,,1,MODHAUS
Glow <Inner Dance>,Single,2024-06-21,,1,MODHAUS
<###>,Single,2024-07-20,,1,SME Records
Visionary Vision <Performante>,Album,2024-10-23,,10,MODHAUS
Polaroid,Single,2024-11-15,Soundtrack,2,
tripleS ∞! <アンタイトル>,Single,2024-11-17,,1,SME Records
Dreaming,Single,2024-11-26,Soundtrack,2,
"Friendly Rivalry (Music from the U+ Original Series), Pt. 4",Single,2025-03-04,Soundtrack,2,
<ASSEMBLE25>,Album,2025-05-12,,10,MODHAUS
tripleS ∞! <Password>,Single,2025-09-17,,1,SME Records
tripleS ∞! < SecretHimitsuBimil >,Album,2025-10-01,,7,SME Records
msnz <Beyond Beauty>,EP,2025-11-24,,6,MODHAUS
トキメティック,Single,2026-02-05,,3,SME Records
