group,predicted_interval_days,actual_interval_days
ARTMS,215.0,308
ATEEZ,71.4,210
BABYMONSTER,131.7,187
BADVILLAIN,84.0,57
BLACKPINK,495.0,686
BOYNEXTDOOR,114.0,119
ENHYPEN,75.0,168
GFRIEND,1514.0,1519
GOT7,954.0,973
ILLIT,210.0,116
ITZY,78.0,237
IVE,54.0,66
KISS OF LIFE,95.2,204
Kep1er,64.2,159
LE SSERAFIM,54.8,93
MEOVV,73.0,161
Monsta X,723.0,966
NMIXX,96.0,158
NiziU,92.0,56
P1Harmony,85.0,212
RIIZE,83.0,90
STAYC,71.7,84
Stray Kids,63.5,98
TREASURE,54.5,92
TWICE,60.2,207
TWS,96.8,147
ZEROBASEONE,82.0,110
aespa,72.0,185
fromis_9,122.0,184
i-dle,177.0,298
tripleS,48.6,68
